"timestamp";"lat [deg]";"lon [deg]";"sog [kn]";"draught [m]";"heading [deg]";"cog [deg]";"rot [deg/min]";"zone  [UTM]";"band  [UTM]";"easting [UTM]";"northing [UTM]"
2023-09-05T10:31:38;-6.83658;112.837145;9.3;-1;511;223.1;-128;49;M;703018;9243929
2023-09-05T10:32:09;-6.83756;112.836248333;9;-1;511;223.8;-128;49;M;702918;9243821
2023-09-05T10:32:28;-6.83813833333;112.83571;8.9;-1;511;226;-128;49;M;702859;9243757
2023-09-05T10:32:58;-6.83904166667;112.834841667;8.3;-1;511;217.5;-128;49;M;702762;9243657
2023-09-05T10:33:09;-6.83936;112.834628333;8.1;-1;511;212.3;-128;49;M;702738;9243622
2023-09-05T10:33:28;-6.839985;112.834318333;7.7;-1;511;203;-128;49;M;702704;9243553
2023-09-05T10:33:38;-6.840345;112.834161667;7.7;-1;511;203.6;-128;49;M;702686;9243513
2023-09-05T10:33:48;-6.84064166667;112.834031667;7.7;-1;511;203.2;-128;49;M;702672;9243481
2023-09-05T10:33:58;-6.84100333333;112.833873333;7.6;-1;511;203.1;-128;49;M;702654;9243441
2023-09-05T10:34:09;-6.84133333333;112.833728333;7.7;-1;511;203.7;-128;49;M;702638;9243404
2023-09-05T10:38:39;-6.84728333333;112.833548333;3.1;-1;511;156.9;-128;49;M;702616;9242746
2023-09-05T10:39:39;-6.84805833333;112.833901667;3;-1;511;155.7;-128;49;M;702654;9242660
2023-09-05T10:49:37;-6.85614666667;112.833451667;6.1;-1;511;240.6;-128;49;M;702601;9241766
2023-09-05T10:52:29;-6.85766333333;112.828465;6.9;-1;511;257.3;-128;49;M;702049;9241600
2023-09-05T10:52:58;-6.85790666667;112.827553333;7;-1;511;255.9;-128;49;M;701949;9241574
2023-09-05T10:53:19;-6.858095;112.826898333;6.8;-1;511;253.6;-128;49;M;701876;9241553
2023-09-05T10:54:07;-6.85865333333;112.82558;5.9;-1;511;241.5;-128;49;M;701730;9241492
2023-09-05T10:54:19;-6.85881333333;112.825296667;5.7;-1;511;239.3;-128;49;M;701699;9241475
2023-09-05T10:54:28;-6.85894166667;112.825096667;5.5;-1;511;236.7;-128;49;M;701677;9241460
2023-09-05T10:56:19;-6.86060666667;112.82318;4.4;-1;511;225.3;-128;49;M;701464;9241277
2023-09-05T10:56:59;-6.861155;112.822648333;4.1;-1;511;224.3;-128;49;M;701405;9241217
2023-09-05T10:57:08;-6.861275;112.822526667;4;-1;511;225.2;-128;49;M;701392;9241203
2023-09-05T10:57:19;-6.86143833333;112.822363333;3.9;-1;511;224.8;-128;49;M;701373;9241185
2023-09-05T10:57:28;-6.86156;112.822243333;4;-1;511;223.8;-128;49;M;701360;9241172
2023-09-05T10:57:48;-6.861825;112.82199;3.8;-1;511;222.9;-128;49;M;701332;9241143
2023-09-05T10:57:59;-6.86197333333;112.821861667;3.7;-1;511;217.9;-128;49;M;701318;9241126
2023-09-05T10:58:08;-6.86209833333;112.821765;3.7;-1;511;216.7;-128;49;M;701307;9241113
2023-09-05T10:58:19;-6.86225;112.821655;3.6;-1;511;216.3;-128;49;M;701295;9241096
2023-09-05T10:58:28;-6.86237333333;112.82157;3.5;-1;511;214.1;-128;49;M;701285;9241082
2023-09-05T10:58:48;-6.86266666667;112.821378333;3.9;-1;511;213;-128;49;M;701264;9241050
2023-09-05T10:58:59;-6.862845;112.821271667;4.1;-1;511;211.6;-128;49;M;701252;9241030
2023-09-05T10:59:08;-6.86299666667;112.82118;4.3;-1;511;211.2;-128;49;M;701242;9241014
2023-09-05T11:00:29;-6.863365;112.820933333;4.7;-1;511;215.1;-128;49;M;701215;9240973
2023-09-05T11:00:40;-6.86355333333;112.82081;4.8;-1;511;212.8;-128;49;M;701201;9240952
2023-09-05T11:01:09;-6.86413333333;112.820446667;5.3;-1;511;214;-128;49;M;701160;9240888
2023-09-05T11:02:30;-6.86599333333;112.819598333;5.1;-1;511;200.6;-128;49;M;701066;9240683
2023-09-05T11:10:10;-6.87339;112.818855;2.6;-1;511;189;-128;49;M;700981;9239865
2023-09-05T11:10:19;-6.87349666667;112.81884;2.4;-1;511;188.1;-128;49;M;700979;9239853
2023-09-05T11:10:30;-6.87361666667;112.818823333;2.5;-1;511;189.9;-128;49;M;700977;9239840
2023-09-05T11:10:39;-6.87372833333;112.818806667;2.4;-1;511;189;-128;49;M;700975;9239828
2023-09-05T11:10:49;-6.87383833333;112.81879;2.4;-1;511;189;-128;49;M;700973;9239815
2023-09-05T11:11:00;-6.87395666667;112.818773333;2.3;-1;511;189.3;-128;49;M;700971;9239802
2023-09-05T11:11:10;-6.87405666667;112.818753333;2.1;-1;511;189.8;-128;49;M;700969;9239791
2023-09-05T11:11:19;-6.87413833333;112.818736667;1.9;-1;511;190.5;-128;49;M;700967;9239782
2023-09-05T11:11:29;-6.874225;112.818716667;1.6;-1;511;193.4;-128;49;M;700965;9239773
2023-09-05T11:11:49;-6.87434833333;112.818681667;0.8;-1;511;207;-128;49;M;700961;9239759
2023-09-05T11:12:00;-6.87438166667;112.818663333;0.5;-1;511;214.9;-128;49;M;700959;9239755
2023-09-05T11:12:10;-6.87439333333;112.818646667;0.4;-1;511;245.5;-128;49;M;700957;9239754
2023-09-05T11:12:19;-6.8744;112.818625;0.5;-1;511;256.1;-128;49;M;700955;9239753
2023-09-05T11:12:50;-6.87438666667;112.818553333;0.6;-1;511;279.2;-128;49;M;700947;9239755
2023-09-05T11:13:29;-6.87435666667;112.818468333;0.4;-1;511;289.8;-128;49;M;700937;9239758
2023-09-05T11:13:40;-6.87435;112.818451667;0.5;-1;511;283.6;-128;49;M;700936;9239759
2023-09-05T11:14:00;-6.874335;112.818411667;0.4;-1;511;291.1;-128;49;M;700931;9239761
2023-09-05T11:14:19;-6.87432;112.818381667;0.4;-1;511;289.1;-128;49;M;700928;9239762
2023-09-05T11:14:29;-6.874315;112.818361667;0.3;-1;511;287.3;-128;49;M;700926;9239763
2023-09-05T11:14:40;-6.87430666667;112.81835;0.3;-1;511;300.3;-128;49;M;700924;9239764
2023-09-05T11:14:50;-6.87429666667;112.818328333;0.3;-1;511;288.8;-128;49;M;700922;9239765
2023-09-05T11:15:00;-6.87429166667;112.818308333;0.6;-1;511;276.5;-128;49;M;700920;9239766
2023-09-05T11:15:19;-6.87428333333;112.818266667;0.3;-1;511;287.4;-128;49;M;700915;9239766
2023-09-05T11:15:29;-6.87428;112.818248333;0.3;-1;511;290.8;-128;49;M;700913;9239767
2023-09-05T11:15:40;-6.87427833333;112.81823;0.4;-1;511;278.9;-128;49;M;700911;9239767
2023-09-05T11:15:50;-6.87427333333;112.818215;0.3;-1;511;277.3;-128;49;M;700909;9239768
2023-09-05T11:16:00;-6.87427166667;112.818198333;0.5;-1;511;272.1;-128;49;M;700908;9239768
2023-09-05T11:16:10;-6.87426666667;112.818186667;0.2;-1;511;285.2;-128;49;M;700906;9239768
