"timestamp";"lat [deg]";"lon [deg]";"sog [kn]";"draught [m]";"heading [deg]";"cog [deg]";"rot [deg/min]";"zone  [UTM]";"band  [UTM]";"easting [UTM]";"northing [UTM]"
2023-09-04T23:14:24;-6.80123833333;112.637256667;6.5;-1;511;118.9;-128;49;M;680936;9247917
2023-09-04T23:15:04;-6.80183166667;112.638308333;6.5;-1;511;119.7;-128;49;M;681052;9247851
2023-09-04T23:15:24;-6.80213;112.638833333;6.4;-1;511;120.4;-128;49;M;681110;9247818
2023-09-04T23:15:44;-6.80244;112.639356667;6.4;-1;511;120;-128;49;M;681167;9247783
2023-09-04T23:16:13;-6.80290166667;112.640123333;6.4;-1;511;119.9;-128;49;M;681252;9247732
2023-09-04T23:17:04;-6.80364333333;112.641438333;6.4;-1;511;120.1;-128;49;M;681397;9247649
2023-09-04T23:17:44;-6.804235;112.642493333;6.6;-1;511;118.3;-128;49;M;681513;9247583
2023-09-04T23:18:33;-6.80500166667;112.643788333;6.5;-1;511;120.2;-128;49;M;681656;9247498
2023-09-04T23:18:44;-6.80515833333;112.644045;6.4;-1;511;122.1;-128;49;M;681685;9247481
2023-09-04T23:18:54;-6.80531166667;112.644303333;6.4;-1;511;122.2;-128;49;M;681713;9247464
2023-09-04T23:19:13;-6.80561;112.64479;6.4;-1;511;121.5;-128;49;M;681767;9247430
2023-09-04T23:19:44;-6.80607333333;112.64559;6.4;-1;511;120.3;-128;49;M;681855;9247379
2023-09-04T23:20:03;-6.80635333333;112.646081667;6.5;-1;511;116.5;-128;49;M;681909;9247348
2023-09-04T23:21:03;-6.80724666667;112.647635;6.4;-1;511;118.4;-128;49;M;682081;9247248
2023-09-04T23:21:54;-6.808015;112.648948333;6.3;-1;511;121.1;-128;49;M;682226;9247163
2023-09-04T23:25:43;-6.81138333333;112.654838333;6.3;-1;511;122.3;-128;49;M;682875;9246788
2023-09-04T23:26:54;-6.81249166667;112.65662;6.3;-1;511;124.9;-128;49;M;683072;9246665
2023-09-04T23:27:14;-6.81283;112.657111667;6.5;-1;511;125.7;-128;49;M;683126;9246627
