timestamp;lat [deg];lon [deg];sog [kn];draught [m];heading [deg];cog [deg];rot [deg/min];zone  [UTM];band  [UTM];easting [UTM];northing [UTM]
2023-09-21T22:25:08;-7.148161667;112.6670933;5.3;-1;511;161.9;-128;49;M;684098;9209538
2023-09-21T22:39:48;-7.171585;112.678065;6.5;-1;511;141.9;-128;49;M;685301;9206944
2023-09-21T22:40:58;-7.173283333;112.6794083;6.8;-1;511;141;-128;49;M;685449;9206755
2023-09-21T22:41:27;-7.174;112.68;6.6;-1;511;141.6;-128;49;M;685514;9206676
2023-09-21T22:42:48;-7.17588;112.6815133;6.5;-1;511;140.3;-128;49;M;685680;9206467
2023-09-21T22:42:58;-7.176108333;112.6817083;6.3;-1;511;139;-128;49;M;685701;9206442
2023-09-21T22:43:18;-7.176556667;112.6820767;6.3;-1;511;139.8;-128;49;M;685742;9206392
2023-09-21T22:43:47;-7.177221667;112.6826283;6.2;-1;511;141.5;-128;49;M;685803;9206318
2023-09-21T22:44:08;-7.177675;112.6829933;6.3;-1;511;140.2;-128;49;M;685843;9206268
2023-09-21T22:45:27;-7.179253333;112.6843383;5;-1;511;139.6;-128;49;M;685991;9206093
2023-09-21T22:46:57;-7.180705;112.685525;4.1;-1;511;139.6;-128;49;M;686121;9205932
2023-09-21T22:47:08;-7.180845;112.68565;4;-1;511;139.4;-128;49;M;686135;9205916
2023-09-21T22:47:18;-7.180985;112.6857783;3.8;-1;511;138.2;-128;49;M;686149;9205901
2023-09-21T22:47:57;-7.181488333;112.6862317;3.4;-1;511;137.4;-128;49;M;686199;9205845
2023-09-21T22:48:18;-7.181728333;112.6864383;3.3;-1;511;139;-128;49;M;686222;9205818
2023-09-21T22:49:08;-7.18229;112.6869367;3.1;-1;511;135.4;-128;49;M;686276;9205756
2023-09-21T22:50:27;-7.18307;112.6876367;2.6;-1;511;137.1;-128;49;M;686353;9205670
2023-09-21T22:52:08;-7.183875;112.6884233;2.4;-1;511;135.4;-128;49;M;686440;9205580
2023-09-21T22:53:08;-7.184356667;112.688895;2.3;-1;511;138.4;-128;49;M;686492;9205527
