"timestamp";"lat [deg]";"lon [deg]";"sog [kn]";"draught [m]";"heading [deg]";"cog [deg]";"rot [deg/min]";"zone  [UTM]";"band  [UTM]";"easting [UTM]";"northing [UTM]"
2023-09-28T17:06:24;-6.85623166667;112.79172;7.7;-1;511;255.1;-128;49;M;697988;9241774
2023-09-29T05:16:10;-6.86045166667;112.769948333;0;-1;511;177.4;-128;49;M;695580;9241316
2023-09-29T12:04:56;-6.88858166667;112.736018333;9.3;-1;511;214.3;-128;49;M;691818;9238219
2023-09-29T12:05:27;-6.88981;112.735371667;9.1;-1;511;204.8;-128;49;M;691746;9238083
2023-09-29T12:05:37;-6.890165;112.735221667;9.1;-1;511;203.4;-128;49;M;691730;9238044
2023-09-29T12:05:47;-6.89055833333;112.73506;9.1;-1;511;203;-128;49;M;691712;9238001
2023-09-29T12:09:37;-6.89961333333;112.731616667;9;-1;511;201.1;-128;49;M;691327;9237001
2023-09-29T12:09:46;-6.90001;112.731475;9;-1;511;200.4;-128;49;M;691312;9236957
2023-09-29T12:10:26;-6.90160666667;112.730876667;9;-1;511;200.5;-128;49;M;691245;9236780
2023-09-29T12:13:46;-6.90964333333;112.727851667;9.1;-1;511;199.1;-128;49;M;690907;9235893
2023-09-29T12:13:56;-6.91004833333;112.72771;9.1;-1;511;198.8;-128;49;M;690891;9235848
2023-09-29T12:14:07;-6.91049333333;112.727553333;9.1;-1;511;198.6;-128;49;M;690874;9235799
2023-09-29T12:14:17;-6.91090166667;112.727423333;9.1;-1;511;198.6;-128;49;M;690859;9235754
2023-09-29T12:14:26;-6.91126333333;112.727318333;9.1;-1;511;198.5;-128;49;M;690848;9235714
2023-09-29T12:14:56;-6.912485;112.726913333;9;-1;511;198.5;-128;49;M;690802;9235579
2023-09-29T12:15:06;-6.91287666667;112.726765;8.9;-1;511;198.9;-128;49;M;690786;9235536
2023-09-29T12:15:17;-6.91330666667;112.726616667;8.9;-1;511;199;-128;49;M;690769;9235488
2023-09-29T12:15:37;-6.91402833333;112.726378333;8.5;-1;511;199;-128;49;M;690743;9235408
2023-09-29T12:15:47;-6.91439666667;112.726255;8.3;-1;511;199;-128;49;M;690729;9235368
2023-09-29T12:17:06;-6.91708833333;112.725443333;7;-1;511;198.1;-128;49;M;690638;9235070
2023-09-29T12:17:17;-6.91741166667;112.72531;6.9;-1;511;198.3;-128;49;M;690623;9235035
2023-09-29T12:17:26;-6.917645;112.725178333;6.8;-1;511;198.8;-128;49;M;690609;9235009
2023-09-29T12:17:37;-6.917965;112.725063333;6.8;-1;511;199.7;-128;49;M;690596;9234974
2023-09-29T12:17:47;-6.91825833333;112.724966667;6.6;-1;511;200.1;-128;49;M;690585;9234941
2023-09-29T12:17:56;-6.91852333333;112.724888333;6.6;-1;511;200.3;-128;49;M;690576;9234912
2023-09-29T12:18:06;-6.91883166667;112.724776667;6.5;-1;511;200.7;-128;49;M;690564;9234878
2023-09-29T12:18:17;-6.91914;112.72466;6.4;-1;511;200.3;-128;49;M;690551;9234844
2023-09-29T12:18:26;-6.91936666667;112.724573333;6.4;-1;511;200;-128;49;M;690541;9234819
2023-09-29T12:18:47;-6.91994833333;112.72435;6.3;-1;511;200.9;-128;49;M;690516;9234755
2023-09-29T12:21:56;-6.92485833333;112.722546667;5.7;-1;511;199.4;-128;49;M;690315;9234212
2023-09-29T12:22:26;-6.92562333333;112.722308333;5.7;-1;511;197.9;-128;49;M;690288;9234128
2023-09-29T12:22:37;-6.92590666667;112.722228333;5.7;-1;511;197;-128;49;M;690279;9234096
2023-09-29T12:22:47;-6.926155;112.722155;5.7;-1;511;197.2;-128;49;M;690271;9234069
2023-09-29T12:22:56;-6.92637833333;112.722076667;5.7;-1;511;197.7;-128;49;M;690262;9234044
2023-09-29T12:23:17;-6.92691833333;112.721861667;5.7;-1;511;201.7;-128;49;M;690238;9233985
2023-09-29T12:23:26;-6.92713166667;112.72177;5.7;-1;511;202.3;-128;49;M;690228;9233961
2023-09-29T12:23:37;-6.92739;112.721661667;5.7;-1;511;203.2;-128;49;M;690216;9233933
2023-09-29T12:23:47;-6.927655;112.721538333;5.7;-1;511;203.2;-128;49;M;690202;9233903
2023-09-29T12:23:56;-6.92791666667;112.721418333;5.7;-1;511;203;-128;49;M;690189;9233874
2023-09-29T12:24:26;-6.92864666667;112.721091667;5.8;-1;511;203.3;-128;49;M;690153;9233794
2023-09-29T12:24:37;-6.92890666667;112.720986667;5.8;-1;511;203.7;-128;49;M;690141;9233765
2023-09-29T12:24:47;-6.92914833333;112.720881667;5.8;-1;511;203.8;-128;49;M;690129;9233738
2023-09-29T12:25:37;-6.93043;112.720346667;5.8;-1;511;203.5;-128;49;M;690069;9233597
2023-09-29T12:25:47;-6.930675;112.72024;5.8;-1;511;203;-128;49;M;690058;9233570
2023-09-29T12:26:06;-6.93118166667;112.72006;5.8;-1;511;202.6;-128;49;M;690037;9233514
2023-09-29T12:26:17;-6.931435;112.719953333;5.8;-1;511;202.4;-128;49;M;690026;9233486
2023-09-29T12:27:06;-6.93268;112.71941;5.8;-1;511;202.9;-128;49;M;689965;9233348
2023-09-29T12:27:47;-6.933735;112.718936667;6.5;-1;511;203.2;-128;49;M;689912;9233232
