timestamp;lat [deg];lon [deg];sog [kn];draught [m];heading [deg];cog [deg];rot [deg/min];zone  [UTM];band  [UTM];easting [UTM];northing [UTM]
2023-09-12T01:50:22;-6.775535;112.6394567;14;-1;511;106.2;-128;49;M;681189;9250758
2023-09-12T01:50:37;-6.775791667;112.6403333;14;-1;511;106.3;-128;49;M;681285;9250730
2023-09-12T01:50:49;-6.776015;112.6410867;13.9;-1;511;106.4;-128;49;M;681369;9250705
2023-09-12T01:51:01;-6.776253333;112.6419067;14;-1;511;106.5;-128;49;M;681459;9250678
2023-09-12T01:51:13;-6.776445;112.642605;14;-1;511;105.9;-128;49;M;681536;9250657
2023-09-12T01:51:25;-6.776681667;112.6434217;14;-1;511;106;-128;49;M;681626;9250630
2023-09-12T01:51:37;-6.776893333;112.64411;14;-1;511;106.8;-128;49;M;681702;9250606
2023-09-12T01:51:49;-6.777148333;112.6448533;14;-1;511;108.4;-128;49;M;681785;9250578
2023-09-12T01:52:01;-6.777461667;112.64564;14;-1;511;110.7;-128;49;M;681871;9250543
2023-09-12T01:52:13;-6.777733333;112.64631;14;-1;511;111.7;-128;49;M;681945;9250513
2023-09-12T01:52:25;-6.778086667;112.6470917;14;-1;511;113.6;-128;49;M;682032;9250473
2023-09-12T01:52:37;-6.77842;112.6477317;14;-1;511;115.9;-128;49;M;682102;9250436
2023-09-12T01:52:49;-6.778795;112.6484317;14.1;-1;511;117.8;-128;49;M;682179;9250395
2023-09-12T01:53:01;-6.779198333;112.6491817;14.1;-1;511;118.4;-128;49;M;682262;9250350
2023-09-12T01:53:13;-6.779551667;112.6498083;14.1;-1;511;118.8;-128;49;M;682331;9250310
2023-09-12T01:53:25;-6.779985;112.6505517;14.1;-1;511;119.8;-128;49;M;682413;9250262
2023-09-12T01:53:37;-6.780353333;112.651175;14.1;-1;511;120;-128;49;M;682482;9250221
2023-09-12T01:53:49;-6.78077;112.6518467;14.1;-1;511;121.2;-128;49;M;682556;9250175
2023-09-12T01:54:01;-6.781233333;112.652565;14.1;-1;511;122.3;-128;49;M;682635;9250123
2023-09-12T01:54:13;-6.781621667;112.6531767;14.1;-1;511;122.5;-128;49;M;682703;9250080
2023-09-12T01:54:25;-6.782098333;112.6538883;14.1;-1;511;123.4;-128;49;M;682781;9250027
2023-09-12T01:54:37;-6.782508333;112.6544833;14.1;-1;511;124.1;-128;49;M;682847;9249982
2023-09-12T01:54:49;-6.782961667;112.6551333;14.1;-1;511;124.7;-128;49;M;682919;9249931
2023-09-12T01:55:01;-6.78342;112.6557833;14.1;-1;511;125.1;-128;49;M;682990;9249880
2023-09-12T01:55:13;-6.783886667;112.6564283;14.1;-1;511;125.7;-128;49;M;683062;9249828
2023-09-12T01:55:25;-6.784395;112.65712;14.1;-1;511;126.2;-128;49;M;683138;9249772
2023-09-12T01:55:37;-6.784823333;112.6577083;14.1;-1;511;126.1;-128;49;M;683203;9249724
2023-09-12T01:55:49;-6.785288333;112.658345;14.1;-1;511;126;-128;49;M;683273;9249673
2023-09-12T01:56:01;-6.785748333;112.658985;14.1;-1;511;125.9;-128;49;M;683343;9249622
2023-09-12T01:56:13;-6.786218333;112.6596083;14.1;-1;511;126.3;-128;49;M;683412;9249569
2023-09-12T01:56:25;-6.786731667;112.6602917;14.1;-1;511;126.9;-128;49;M;683488;9249512
2023-09-12T01:56:37;-6.787166667;112.6608767;14;-1;511;127.2;-128;49;M;683552;9249464
2023-09-12T01:56:49;-6.787645;112.6614983;14;-1;511;127.3;-128;49;M;683621;9249411
2023-09-12T01:57:01;-6.788118333;112.66211;14;-1;511;127.3;-128;49;M;683688;9249358
2023-09-12T01:57:13;-6.788595;112.6627383;14;-1;511;127.3;-128;49;M;683757;9249305
2023-09-12T01:57:25;-6.789121667;112.6634183;14;-1;511;127.6;-128;49;M;683832;9249247
2023-09-12T01:57:37;-6.789606667;112.6640433;14;-1;511;127.8;-128;49;M;683901;9249193
2023-09-12T01:57:56;-6.790335;112.664975;14;-1;511;128.2;-128;49;M;684004;9249112
2023-09-12T01:58:07;-6.790838333;112.665585;14;-1;511;128.9;-128;49;M;684071;9249056
