"timestamp";"lat [deg]";"lon [deg]";"sog [kn]";"draught [m]";"heading [deg]";"cog [deg]";"rot [deg/min]";"zone  [UTM]";"band  [UTM]";"easting [UTM]";"northing [UTM]"
2023-09-06T05:05:56;-6.76098333333;112.721133333;14.5;-1;150;150;0;49;M;690224;9252337
2023-09-06T05:06:08;-6.76163333333;112.7215;14.5;-1;150;150;0;49;M;690264;9252264
2023-09-06T05:06:19;-6.76235;112.721916667;14.5;-1;150;150;0;49;M;690310;9252185
2023-09-06T05:06:31;-6.76306666667;112.722316667;14.5;-1;150;150;0;49;M;690354;9252106
2023-09-06T05:06:44;-6.76376666667;112.722716667;14.5;-1;150;150;0;49;M;690397;9252028
2023-09-06T05:06:56;-6.7645;112.723116667;14.5;-1;150;150;0;49;M;690441;9251947
2023-09-06T05:07:08;-6.7652;112.723516667;14.5;-1;150;150;0;49;M;690485;9251869
2023-09-06T05:07:19;-6.76585;112.7239;14.5;-1;150;150;0;49;M;690527;9251797
2023-09-06T05:07:31;-6.76656666667;112.7243;14.5;-1;150;150;0;49;M;690571;9251718
2023-09-06T05:07:44;-6.76733333333;112.724733333;14.5;-1;150;150;0;49;M;690619;9251633
2023-09-06T05:07:56;-6.76808333333;112.72515;14.6;-1;150;150;0;49;M;690665;9251550
2023-09-06T05:08:08;-6.7688;112.72555;14.6;-1;150;150;0;49;M;690709;9251470
2023-09-06T05:08:20;-6.7695;112.72595;14.6;-1;150;150;0;49;M;690753;9251393
2023-09-06T05:08:31;-6.77016666667;112.726316667;14.6;-1;150;150;0;49;M;690793;9251319
2023-09-06T05:08:44;-6.77086666667;112.726716667;14.5;-1;150;150;0;49;M;690837;9251241
2023-09-06T05:08:56;-6.77156666667;112.727116667;14.5;-1;150;150;0;49;M;690881;9251164
2023-09-06T05:09:13;-6.77225;112.727466667;14.3;-1;150;150;0;49;M;690919;9251088
2023-09-06T05:09:26;-6.77283333333;112.727783333;14.2;-1;150;150;0;49;M;690954;9251023
2023-09-06T05:09:38;-6.77348333333;112.72815;14;-1;150;150;0;49;M;690994;9250951
2023-09-06T05:09:49;-6.7741;112.728483333;13.9;-1;150;150;0;49;M;691031;9250883
2023-09-06T05:10:01;-6.77476666667;112.72885;13.8;-1;150;150;0;49;M;691071;9250809
2023-09-06T05:10:13;-6.77541666667;112.729283333;13.7;-1;150;150;0;49;M;691119;9250737
2023-09-06T05:10:26;-6.77611666667;112.729716667;13.6;-1;151;149;11;49;M;691167;9250659
2023-09-06T05:10:38;-6.77681666667;112.73015;13.5;-1;152;149;12;49;M;691214;9250582
2023-09-06T05:10:49;-6.77741666667;112.730483333;13.4;-1;154;150;12;49;M;691251;9250515
2023-09-06T05:11:01;-6.77808333333;112.730833333;13.3;-1;155;151;9;49;M;691289;9250442
2023-09-06T05:11:13;-6.77876666667;112.731166667;13.2;-1;155;153;8;49;M;691326;9250366
2023-09-06T05:11:26;-6.7795;112.73145;13.2;-1;156;154;5;49;M;691357;9250285
2023-09-06T05:11:38;-6.78016666667;112.731733333;13.1;-1;155;155;-5;49;M;691388;9250211
2023-09-06T05:11:49;-6.78073333333;112.731966667;13.1;-1;155;155;0;49;M;691413;9250148
2023-09-06T05:12:01;-6.7814;112.732283333;13;-1;155;155;-9;49;M;691448;9250074
2023-09-06T05:12:26;-6.78278333333;112.732883333;12.9;-1;153;155;-11;49;M;691514;9249921
2023-09-06T05:12:38;-6.78343333333;112.733183333;12.8;-1;152;154;-11;49;M;691547;9249849
2023-09-06T05:12:49;-6.78401666667;112.733483333;12.8;-1;151;154;-9;49;M;691580;9249784
2023-09-06T05:13:01;-6.78465;112.733816667;12.7;-1;151;152;7;49;M;691616;9249714
2023-09-06T05:13:13;-6.7853;112.734183333;12.5;-1;152;150;13;49;M;691657;9249642
2023-09-06T05:13:25;-6.7859;112.734533333;12.3;-1;154;150;13;49;M;691695;9249576
2023-09-06T05:13:35;-6.78631666667;112.734783333;12.3;-1;156;151;12;49;M;691723;9249529
2023-09-06T05:13:45;-6.78683333333;112.735033333;12.1;-1;156;152;9;49;M;691750;9249472
2023-09-06T05:13:56;-6.7876;112.735383333;11.9;-1;156;155;0;49;M;691788;9249387
2023-09-06T05:14:06;-6.788;112.735533333;11.8;-1;156;155;0;49;M;691805;9249343
2023-09-06T05:14:25;-6.78888333333;112.735916667;11.7;-1;156;155;0;49;M;691847;9249245
2023-09-06T05:14:45;-6.78986666667;112.736383333;11.7;-1;156;156;0;49;M;691898;9249136
2023-09-06T05:14:56;-6.7904;112.73665;11.7;-1;156;156;0;49;M;691927;9249077
2023-09-06T05:15:06;-6.7909;112.736883333;11.7;-1;156;156;0;49;M;691953;9249022
2023-09-06T05:15:25;-6.7919;112.73735;11.7;-1;156;156;0;49;M;692004;9248911
2023-09-06T05:15:35;-6.79241666667;112.737566667;11.7;-1;156;156;0;49;M;692028;9248854
2023-09-06T05:15:45;-6.79298333333;112.737816667;11.7;-1;156;156;0;49;M;692055;9248791
2023-09-06T05:15:56;-6.79343333333;112.737983333;11.8;-1;156;156;0;49;M;692074;9248741
2023-09-06T05:16:15;-6.79448333333;112.73845;11.8;-1;156;156;5;49;M;692125;9248625
2023-09-06T05:16:25;-6.79501666667;112.7387;11.8;-1;157;156;11;49;M;692152;9248566
2023-09-06T05:16:35;-6.79546666667;112.7389;11.8;-1;158;155;11;49;M;692174;9248516
2023-09-06T05:16:45;-6.79598333333;112.739116667;11.9;-1;159;156;8;49;M;692198;9248459
2023-09-06T05:16:56;-6.79655;112.739366667;11.9;-1;159;157;7;49;M;692225;9248396
2023-09-06T05:17:06;-6.79706666667;112.739566667;11.9;-1;160;158;8;49;M;692247;9248339
2023-09-06T05:17:15;-6.79755;112.7397;11.8;-1;160;158;5;49;M;692262;9248285
2023-09-06T05:17:25;-6.79806666667;112.739866667;11.7;-1;160;159;0;49;M;692280;9248228
2023-09-06T05:17:35;-6.79858333333;112.7401;11.6;-1;160;159;0;49;M;692305;9248171
2023-09-06T05:17:45;-6.79908333333;112.7403;11.6;-1;160;160;0;49;M;692327;9248115
2023-09-06T05:17:56;-6.79965;112.7405;11.5;-1;160;160;0;49;M;692349;9248053
2023-09-06T05:18:06;-6.80015;112.740666667;11.4;-1;160;160;0;49;M;692368;9247997
2023-09-06T05:18:17;-6.80075;112.740883333;11.3;-1;160;160;0;49;M;692391;9247931
2023-09-06T05:18:35;-6.8016;112.741183333;11.1;-1;160;160;0;49;M;692424;9247837
2023-09-06T05:18:45;-6.80208333333;112.74135;11.1;-1;160;160;0;49;M;692442;9247783
2023-09-06T05:18:56;-6.80263333333;112.741533333;11;-1;160;160;0;49;M;692462;9247722
2023-09-06T05:19:06;-6.80311666667;112.7417;10.9;-1;160;161;0;49;M;692481;9247669
2023-09-06T05:19:17;-6.80365;112.741883333;10.8;-1;160;160;0;49;M;692501;9247610
2023-09-06T05:19:25;-6.80403333333;112.742016667;10.8;-1;160;161;0;49;M;692515;9247567
2023-09-06T05:19:35;-6.8045;112.742183333;10.7;-1;160;160;0;49;M;692533;9247515
2023-09-06T05:19:45;-6.80498333333;112.74235;10.7;-1;160;160;0;49;M;692552;9247462
2023-09-06T05:19:56;-6.8055;112.742533333;10.6;-1;160;160;0;49;M;692572;9247405
2023-09-06T05:20:05;-6.80591666667;112.742683333;10.6;-1;161;160;8;49;M;692588;9247359
2023-09-06T05:20:17;-6.80646666667;112.7428;10.5;-1;161;159;8;49;M;692601;9247298
2023-09-06T05:20:35;-6.8073;112.743033333;10.5;-1;162;160;8;49;M;692626;9247205
2023-09-06T05:20:46;-6.80785;112.743216667;10.4;-1;162;161;0;49;M;692646;9247145
