"timestamp";"lat [deg]";"lon [deg]";"sog [kn]";"draught [m]";"heading [deg]";"cog [deg]";"rot [deg/min]";"zone  [UTM]";"band  [UTM]";"easting [UTM]";"northing [UTM]"
2023-09-09T00:44:26;-6.76445666667;112.746968333;8.5;-1;132;155.2;-127;49;M;693078;9251942
2023-09-09T00:44:36;-6.764735;112.747165;8.3;-1;126;149.4;-127;49;M;693100;9251911
2023-09-09T00:44:46;-6.76502166667;112.747406667;8.1;-1;121;143.3;-127;49;M;693127;9251880
2023-09-09T00:44:56;-6.76528166667;112.747666667;7.9;-1;116;137.8;-127;49;M;693155;9251851
2023-09-09T00:45:06;-6.765515;112.747943333;7.8;-1;111;132.6;-127;49;M;693186;9251825
2023-09-09T00:45:16;-6.76572;112.74824;7.7;-1;107;127.6;-127;49;M;693218;9251802
2023-09-09T00:45:26;-6.76589166667;112.74855;7.6;-1;103;122.1;-127;49;M;693253;9251783
2023-09-09T00:45:36;-6.76604833333;112.7489;7.5;-1;99;116.4;-127;49;M;693291;9251765
2023-09-09T00:45:46;-6.76615833333;112.749195;7.5;-1;96;112.8;-127;49;M;693324;9251753
2023-09-09T00:45:56;-6.76626;112.749565;7.4;-1;92;107.4;-127;49;M;693365;9251742
2023-09-09T00:46:23;-6.76636166667;112.750443333;7.4;-1;90;96.5;0;49;M;693462;9251730
2023-09-09T00:46:43;-6.76638166667;112.751136667;7.5;-1;90;92.1;0;49;M;693538;9251728
2023-09-09T00:47:02;-6.766385;112.75184;7.7;-1;90;90.4;0;49;M;693616;9251727
2023-09-09T00:47:13;-6.76638666667;112.75224;7.8;-1;90;90.5;0;49;M;693660;9251727
2023-09-09T00:47:23;-6.76640166667;112.752618333;8;-1;87;91.8;-127;49;M;693702;9251725
2023-09-09T00:47:33;-6.766405;112.752965;8.2;-1;85;90.7;-127;49;M;693741;9251724
2023-09-09T00:47:52;-6.76638166667;112.753766667;8.6;-1;81;88.1;-127;49;M;693829;9251727
2023-09-09T00:48:13;-6.766305;112.754593333;8.9;-1;73;84.7;-127;49;M;693921;9251735
2023-09-09T00:48:23;-6.76623833333;112.755011667;9;-1;69;81.9;-127;49;M;693967;9251742
2023-09-09T00:48:36;-6.76610166667;112.755546667;9;-1;63;76.7;-127;49;M;694026;9251757
2023-09-09T00:48:46;-6.76594833333;112.755981667;9.1;-1;58;72.1;-127;49;M;694074;9251774
2023-09-09T00:48:56;-6.76577166667;112.756365;9.1;-1;55;67.5;-127;49;M;694117;9251793
2023-09-09T03:49:03;-6.768725;112.77564;10.9;-1;210;209.1;0;49;M;696246;9251459
2023-09-09T03:49:32;-6.76998166667;112.774953333;10.8;-1;210;208.5;0;49;M;696170;9251320
2023-09-09T03:49:43;-6.77045833333;112.774698333;10.7;-1;211;208.7;0;49;M;696142;9251267
2023-09-09T03:49:53;-6.77088833333;112.77445;10.7;-1;209;209.8;0;49;M;696114;9251220
2023-09-09T03:50:12;-6.77174;112.77397;10.6;-1;206;208.8;0;49;M;696061;9251126
2023-09-09T03:50:22;-6.77218166667;112.77375;10.5;-1;206;207.2;0;49;M;696036;9251077
2023-09-09T03:50:32;-6.77258;112.773561667;10.4;-1;205;206.2;0;49;M;696015;9251033
2023-09-09T03:50:43;-6.77306833333;112.773338333;10.4;-1;205;205;0;49;M;695990;9250979
2023-09-09T03:50:53;-6.77355333333;112.773126667;10.3;-1;205;203.8;0;49;M;695967;9250926
2023-09-09T03:51:12;-6.77433333333;112.772763333;10.3;-1;205;204.5;0;49;M;695926;9250840
2023-09-09T03:51:22;-6.77476833333;112.772565;10.3;-1;205;204.1;0;49;M;695904;9250792
2023-09-09T03:51:32;-6.77520166667;112.772381667;10.2;-1;205;203.7;0;49;M;695884;9250744
2023-09-09T03:51:43;-6.77571833333;112.772156667;10.2;-1;205;203.8;0;49;M;695859;9250687
2023-09-09T03:51:53;-6.776155;112.77197;10.2;-1;205;203.3;0;49;M;695838;9250638
2023-09-09T03:52:12;-6.77694;112.771613333;10.2;-1;205;203.8;0;49;M;695798;9250552
