"timestamp";"lat [deg]";"lon [deg]";"sog [kn]";"draught [m]";"heading [deg]";"cog [deg]";"rot [deg/min]";"zone  [UTM]";"band  [UTM]";"easting [UTM]";"northing [UTM]"
2023-09-07T00:21:16;-6.75405;112.678516667;13;-1;115;115;0;49;M;685515;9253120
2023-09-07T00:21:36;-6.75456666667;112.679616667;13;-1;115;115;0;49;M;685636;9253062
2023-09-07T00:21:47;-6.75483333333;112.680166667;13;-1;115;115;0;49;M;685697;9253032
2023-09-07T00:22:06;-6.75533333333;112.681216667;13;-1;115;115;0;49;M;685813;9252977
2023-09-07T00:22:16;-6.75558333333;112.68175;13;-1;115;115;0;49;M;685872;9252949
2023-09-07T00:22:36;-6.75611666667;112.682916667;13;-1;115;115;0;49;M;686000;9252890
2023-09-07T00:22:47;-6.75641666667;112.683533333;13;-1;115;115;0;49;M;686068;9252856
2023-09-07T00:23:06;-6.75691666667;112.6846;13;-1;115;115;0;49;M;686186;9252800
2023-09-07T00:23:16;-6.75716666667;112.68515;13;-1;115;115;0;49;M;686247;9252773
2023-09-07T00:23:36;-6.75766666667;112.68625;13;-1;115;115;0;49;M;686368;9252717
2023-09-07T00:23:46;-6.75793333333;112.6868;13;-1;115;115;0;49;M;686429;9252687
2023-09-07T00:23:56;-6.75818333333;112.687366667;13;-1;115;114;0;49;M;686492;9252659
2023-09-07T00:24:16;-6.75866666667;112.6884;13;-1;115;114;0;49;M;686606;9252605
2023-09-07T00:24:36;-6.75918333333;112.689516667;13;-1;115;114;0;49;M;686729;9252548
2023-09-07T00:24:46;-6.75945;112.690116667;13;-1;115;114;0;49;M;686795;9252518
2023-09-07T00:25:16;-6.76021666667;112.691783333;13;-1;115;114;0;49;M;686979;9252433
2023-09-07T00:25:36;-6.76073333333;112.692883333;13;-1;115;114;0;49;M;687100;9252375
2023-09-07T00:25:46;-6.76101666667;112.693483333;13;-1;115;114;0;49;M;687167;9252344
2023-09-07T00:25:56;-6.76123333333;112.693983333;13;-1;115;114;0;49;M;687222;9252319
2023-09-07T00:26:16;-6.76175;112.695083333;13;-1;115;114;0;49;M;687343;9252262
2023-09-07T00:26:35;-6.76223333333;112.696133333;13;-1;115;114;0;49;M;687459;9252208
2023-09-07T00:26:46;-6.76251666667;112.696733333;13;-1;115;115;0;49;M;687525;9252176
2023-09-07T00:26:56;-6.7628;112.6973;13;-1;115;115;0;49;M;687588;9252145
2023-09-07T00:27:16;-6.76331666667;112.69835;13;-1;115;115;0;49;M;687704;9252087
2023-09-07T00:27:35;-6.76386666667;112.699516667;13;-1;115;115;0;49;M;687833;9252026
2023-09-07T00:27:46;-6.76413333333;112.700116667;13;-1;115;115;0;49;M;687899;9251996
2023-09-07T00:27:56;-6.76436666667;112.70065;13;-1;115;114;0;49;M;687958;9251970
2023-09-07T00:28:16;-6.76488333333;112.701733333;13;-1;115;114;0;49;M;688077;9251913
2023-09-07T00:28:35;-6.76533333333;112.70275;13;-1;115;114;0;49;M;688189;9251863
2023-09-07T00:28:46;-6.76563333333;112.703366667;13;-1;115;114;0;49;M;688258;9251829
2023-09-07T00:28:56;-6.76588333333;112.7039;13;-1;115;114;0;49;M;688316;9251801
2023-09-07T00:29:16;-6.76638333333;112.70495;13;-1;115;115;0;49;M;688432;9251746
2023-09-07T00:29:35;-6.76685;112.706016667;13;-1;115;114;0;49;M;688550;9251694
2023-09-07T00:29:46;-6.76713333333;112.706616667;13;-1;115;114;0;49;M;688616;9251662
