"timestamp";"lat [deg]";"lon [deg]";"sog [kn]";"draught [m]";"heading [deg]";"cog [deg]";"rot [deg/min]";"zone  [UTM]";"band  [UTM]";"easting [UTM]";"northing [UTM]"
2023-09-03T23:13:07;-6.76324833333;112.739258333;12.5;-1;126;119.2;17;49;M;692226;9252079
2023-09-03T23:13:17;-6.76356;112.739755;12.5;-1;128;122;18;49;M;692281;9252044
2023-09-03T23:13:37;-6.76420666667;112.740725;12.5;-1;133;124.8;20;49;M;692388;9251972
2023-09-03T23:13:47;-6.76456;112.741188333;12.5;-1;135;126.7;20;49;M;692439;9251933
2023-09-03T23:13:57;-6.76492833333;112.741641667;12.5;-1;138;128.8;20;49;M;692489;9251892
2023-09-03T23:14:17;-6.76571666667;112.74249;12.5;-1;143;133.3;21;49;M;692583;9251805
2023-09-03T23:14:27;-6.76609666667;112.742846667;12.5;-1;146;136.4;22;49;M;692622;9251762
2023-09-03T23:14:37;-6.76657333333;112.743263333;12.5;-1;150;139;22;49;M;692668;9251710
2023-09-03T23:14:47;-6.76703166667;112.743615;12.4;-1;153;142.1;22;49;M;692707;9251659
2023-09-03T23:14:57;-6.76745833333;112.743911667;12.4;-1;156;145.1;22;49;M;692739;9251611
2023-09-03T23:15:10;-6.76814833333;112.744325;12.3;-1;161;150;22;49;M;692785;9251535
2023-09-03T23:15:21;-6.76866333333;112.744583333;12.2;-1;164;153.1;23;49;M;692813;9251478
2023-09-03T23:15:31;-6.76918833333;112.744811667;12.2;-1;168;156.3;22;49;M;692838;9251420
2023-09-03T23:15:45;-6.76994666667;112.74507;12.2;-1;172;161.7;21;49;M;692866;9251336
2023-09-03T23:15:57;-6.77061;112.745223333;12.1;-1;175;166.8;17;49;M;692883;9251262
2023-09-03T23:16:23;-6.77211333333;112.745401667;12;-1;178;175.1;11;49;M;692902;9251096
2023-09-03T23:16:41;-6.773065;112.745435;12.1;-1;178;178.9;-9;49;M;692905;9250991
2023-09-03T23:16:53;-6.773795;112.74545;12.1;-1;178;178.6;5;49;M;692907;9250910
2023-09-03T23:17:05;-6.774415;112.745465;12;-1;178;178.7;5;49;M;692908;9250841
2023-09-03T23:17:23;-6.77547666667;112.745471667;11.9;-1;178;179.6;0;49;M;692909;9250724
2023-09-03T23:17:53;-6.77712833333;112.745503333;11.8;-1;178;180.4;-7;49;M;692911;9250541
2023-09-03T23:18:03;-6.777675;112.745518333;11.7;-1;178;178.6;5;49;M;692913;9250481
2023-09-03T23:18:23;-6.778705;112.74554;11.7;-1;178;179.3;7;49;M;692915;9250367
2023-09-03T23:18:33;-6.77925;112.745553333;11.6;-1;178;178.4;-7;49;M;692916;9250307
2023-09-03T23:19:33;-6.78247;112.745633333;11.4;-1;178;179.7;-5;49;M;692924;9249951
2023-09-03T23:19:44;-6.78309833333;112.745628333;11.3;-1;178;180;-8;49;M;692923;9249881
2023-09-03T23:19:55;-6.78361833333;112.74563;11.1;-1;177;179.1;-7;49;M;692923;9249824
2023-09-03T23:20:07;-6.78423666667;112.745653333;11;-1;178;177.4;9;49;M;692925;9249755
2023-09-03T23:20:17;-6.78474166667;112.74567;10.9;-1;179;177.4;12;49;M;692927;9249699
2023-09-03T23:20:27;-6.78524166667;112.74569;10.8;-1;179;178.1;5;49;M;692929;9249644
2023-09-03T23:20:37;-6.78577333333;112.745695;10.7;-1;179;180;0;49;M;692929;9249585
2023-09-03T23:21:33;-6.78844666667;112.745761667;10.2;-1;179;179.3;0;49;M;692935;9249289
2023-09-03T23:21:44;-6.78901166667;112.745763333;10.1;-1;178;179.7;-8;49;M;692935;9249227
2023-09-03T23:21:55;-6.78948;112.745761667;10;-1;178;179.3;-5;49;M;692935;9249175
2023-09-03T23:22:13;-6.79031333333;112.745768333;9.8;-1;178;179.5;7;49;M;692935;9249083
2023-09-03T23:22:23;-6.79077;112.745783333;9.8;-1;178;177.8;5;49;M;692937;9249033
2023-09-03T23:22:35;-6.79131166667;112.745795;9.7;-1;178;179.3;0;49;M;692938;9248973
2023-09-03T23:22:55;-6.792205;112.745805;9.5;-1;178;178.7;7;49;M;692939;9248874
2023-09-03T23:23:13;-6.79299833333;112.745828333;9.5;-1;178;178.6;-7;49;M;692941;9248786
2023-09-03T23:23:23;-6.79343833333;112.745831667;9.4;-1;178;179.4;5;49;M;692941;9248737
2023-09-03T23:23:35;-6.793955;112.74586;9.3;-1;178;176.5;8;49;M;692944;9248680
2023-09-03T23:23:55;-6.79480666667;112.745863333;9;-1;178;179.1;-8;49;M;692944;9248586
2023-09-03T23:24:04;-6.79518;112.74587;8.9;-1;178;179.2;0;49;M;692945;9248545
2023-09-03T23:24:23;-6.795955;112.745901667;8.7;-1;178;177.5;9;49;M;692948;9248459
2023-09-03T23:25:13;-6.79793833333;112.745955;8.3;-1;178;178.5;5;49;M;692953;9248240
2023-09-03T23:25:35;-6.79877333333;112.745976667;8.1;-1;179;177.1;11;49;M;692955;9248147
2023-09-03T23:26:47;-6.80141;112.746005;7.5;-1;179;178.6;12;49;M;692957;9247856
2023-09-03T23:26:57;-6.80172;112.746026667;7.4;-1;181;176.7;14;49;M;692959;9247821
2023-09-03T23:27:14;-6.802335;112.74605;7.3;-1;182;178.8;12;49;M;692962;9247753
2023-09-03T23:27:24;-6.80267166667;112.746041667;7.3;-1;183;180.7;5;49;M;692961;9247716
2023-09-03T23:27:34;-6.80300666667;112.74602;7.2;-1;183;183.1;0;49;M;692958;9247679
2023-09-03T23:28:45;-6.80528166667;112.745876667;6.8;-1;182;183.5;5;49;M;692941;9247428
2023-09-03T23:30:34;-6.80867333333;112.745706667;6.4;-1;182;184.3;0;49;M;692921;9247053
2023-09-03T23:31:03;-6.80953833333;112.745663333;6.3;-1;182;183.7;0;49;M;692916;9246957
2023-09-03T23:31:34;-6.81045;112.745605;6.3;-1;182;182.8;5;49;M;692909;9246856
2023-09-03T23:32:54;-6.812715;112.745455;6.1;-1;182;183.6;8;49;M;692892;9246606
2023-09-03T23:33:34;-6.81386333333;112.745386667;6;-1;182;185.3;-5;49;M;692884;9246479
2023-09-03T23:33:54;-6.81439;112.745356667;5.9;-1;182;182.3;7;49;M;692880;9246420
2023-09-03T23:40:00;-6.82348833333;112.745033333;4.8;-1;177;174.4;8;49;M;692841;9245414
2023-09-03T23:40:17;-6.82387166667;112.74505;4.8;-1;177;177.7;5;49;M;692843;9245372
2023-09-03T23:41:24;-6.825405;112.74509;5;-1;176;177.5;0;49;M;692846;9245202
2023-09-03T23:41:44;-6.82585166667;112.745111667;5;-1;176;177.4;5;49;M;692849;9245153
2023-09-03T23:42:14;-6.82656166667;112.745138333;5.1;-1;176;178.6;0;49;M;692851;9245074
2023-09-03T23:42:24;-6.82682333333;112.745155;5.1;-1;176;177;0;49;M;692853;9245045
2023-09-03T23:43:14;-6.82795833333;112.74523;4.7;-1;176;176.6;-5;49;M;692861;9244920
2023-09-04T00:35:13;-6.91908166667;112.724513333;8.1;-1;200;198.7;-7;49;M;690535;9234850
2023-09-04T00:35:54;-6.920595;112.724026667;8.1;-1;200;198.6;5;49;M;690480;9234683
2023-09-04T00:38:45;-6.92662166667;112.721876667;8;-1;200;200.5;-7;49;M;690240;9234018
2023-09-04T00:39:04;-6.92733166667;112.721635;8;-1;200;200.5;7;49;M;690213;9233939
2023-09-04T00:39:13;-6.92762333333;112.721541667;8;-1;200;198.7;8;49;M;690203;9233907
2023-09-04T00:39:23;-6.92802;112.721408333;8;-1;201;198.7;11;49;M;690188;9233863
2023-09-04T00:39:35;-6.92840333333;112.721261667;8;-1;201;200.2;5;49;M;690171;9233821
2023-09-04T00:40:13;-6.92971;112.720716667;7.9;-1;200;201;5;49;M;690111;9233676
2023-09-04T00:40:35;-6.93047833333;112.72044;7.9;-1;201;200.8;8;49;M;690080;9233592
2023-09-04T00:40:57;-6.93125833333;112.7201;7.9;-1;199;204.9;-14;49;M;690042;9233505
2023-09-04T00:41:17;-6.93193833333;112.719853333;7.8;-1;199;198.3;5;49;M;690014;9233430
2023-09-04T00:41:45;-6.93286;112.719516667;7.8;-1;199;200.7;-5;49;M;689977;9233329
2023-09-04T00:42:04;-6.93354166667;112.719275;7.8;-1;199;199.5;5;49;M;689950;9233253
2023-09-04T00:42:25;-6.93423666667;112.719041667;7.8;-1;199;200;0;49;M;689924;9233176
2023-09-04T00:42:45;-6.93491666667;112.718786667;7.8;-1;199;199.4;-5;49;M;689895;9233101
2023-09-04T00:43:04;-6.93559666667;112.718528333;7.8;-1;199;199.7;0;49;M;689866;9233026
2023-09-04T00:45:25;-6.940405;112.716965;7.7;-1;198;196.3;8;49;M;689692;9232495
2023-09-04T00:46:24;-6.94245166667;112.716373333;7.6;-1;197;195.1;7;49;M;689626;9232269
2023-09-04T00:52:54;-6.95561833333;112.712296667;7.5;-1;198;199.1;-5;49;M;689170;9230814
2023-09-04T00:54:15;-6.958295;112.711378333;7.5;-1;200;200.3;7;49;M;689067;9230519
2023-09-04T00:54:23;-6.95859166667;112.711281667;7.5;-1;200;199.2;5;49;M;689056;9230486
2023-09-04T00:54:54;-6.95957666667;112.710923333;7.5;-1;201;199.8;9;49;M;689016;9230377
2023-09-04T00:55:05;-6.95994166667;112.7108;7.5;-1;201;198.7;11;49;M;689003;9230337
2023-09-04T00:55:15;-6.96027166667;112.710675;7.5;-1;201;201.2;-7;49;M;688989;9230300
2023-09-04T00:56:34;-6.96288166667;112.70967;7.5;-1;202;201.6;5;49;M;688877;9230012
2023-09-04T00:56:54;-6.96348833333;112.709418333;7.4;-1;202;203.4;-5;49;M;688849;9229945
2023-09-04T00:57:05;-6.96385;112.709283333;7.5;-1;202;201.3;-5;49;M;688833;9229905
2023-09-04T00:57:43;-6.96511666667;112.70881;7.4;-1;202;201.8;5;49;M;688781;9229765
2023-09-04T00:58:14;-6.966075;112.708406667;7.4;-1;202;202.4;-8;49;M;688736;9229660
2023-09-04T00:58:23;-6.96638833333;112.708281667;7.4;-1;202;201.9;9;49;M;688722;9229625
2023-09-04T00:58:43;-6.96703833333;112.708041667;7.4;-1;203;202;7;49;M;688695;9229553
2023-09-04T00:58:54;-6.96735333333;112.707903333;7.3;-1;204;202.1;5;49;M;688680;9229518
2023-09-04T00:59:23;-6.968295;112.707498333;7.3;-1;205;202;11;49;M;688634;9229414
2023-09-04T00:59:51;-6.96916;112.707148333;7.3;-1;208;203.2;13;49;M;688595;9229319
2023-09-04T01:00:05;-6.96958666667;112.706948333;7.2;-1;209;205.7;11;49;M;688573;9229272
2023-09-04T01:00:13;-6.96985666667;112.706815;7.2;-1;209;207.9;5;49;M;688558;9229242
2023-09-04T01:00:23;-6.97015166667;112.706656667;7.2;-1;210;208.6;8;49;M;688541;9229209
2023-09-04T01:00:54;-6.971025;112.706173333;7.1;-1;211;209.1;9;49;M;688487;9229113
2023-09-04T01:01:44;-6.97249;112.70532;7;-1;215;211;13;49;M;688392;9228951
2023-09-04T01:06:44;-6.97995833333;112.699218333;6.8;-1;218;222;-9;49;M;687715;9228128
2023-09-04T01:07:54;-6.98166333333;112.697835;6.7;-1;218;221.4;-11;49;M;687561;9227940
2023-09-04T01:08:00;-6.981825;112.697686667;6.7;-1;217;223.4;-13;49;M;687545;9227922
2023-09-04T01:08:07;-6.98196666667;112.69756;6.7;-1;216;222.6;-9;49;M;687531;9227906
2023-09-04T01:08:20;-6.98231666667;112.697291667;6.7;-1;216;217.5;0;49;M;687501;9227868
2023-09-04T01:08:33;-6.98261166667;112.697051667;6.7;-1;216;218.7;-5;49;M;687474;9227835
2023-09-04T01:08:54;-6.98314333333;112.696663333;6.6;-1;216;217.1;5;49;M;687431;9227777
2023-09-04T01:09:14;-6.98361333333;112.696271667;6.6;-1;216;219.3;-8;49;M;687388;9227725
2023-09-04T01:09:43;-6.98435166667;112.695711667;6.6;-1;215;215.3;7;49;M;687326;9227643
2023-09-04T01:10:04;-6.98488;112.695328333;6.6;-1;215;216.5;-5;49;M;687283;9227585
2023-09-04T01:10:24;-6.98536333333;112.694955;6.5;-1;215;215.3;7;49;M;687242;9227532
2023-09-04T01:10:53;-6.98608333333;112.694426667;6.5;-1;215;217.3;-8;49;M;687183;9227452
2023-09-04T01:11:24;-6.98685;112.693886667;6.5;-1;215;214.9;8;49;M;687123;9227368
2023-09-04T01:19:34;-7.002085;112.68218;10;-1;211;212.6;-7;49;M;685823;9225688
2023-09-04T01:19:45;-7.00248333333;112.681928333;10.1;-1;211;212.1;-7;49;M;685795;9225644
2023-09-04T01:20:03;-7.00321833333;112.681476667;10.2;-1;210;211.2;-8;49;M;685745;9225562
2023-09-04T01:20:14;-7.003675;112.68121;10.2;-1;210;210.4;8;49;M;685715;9225512
2023-09-04T01:20:34;-7.00456166667;112.680701667;10.3;-1;211;210.5;9;49;M;685659;9225414
2023-09-04T01:20:45;-7.004975;112.680451667;10.4;-1;211;211.4;5;49;M;685631;9225369
2023-09-04T01:20:54;-7.005345;112.680218333;10.4;-1;211;212.6;-8;49;M;685605;9225328
2023-09-04T01:24:34;-7.014785;112.67536;10.3;-1;204;203;8;49;M;685065;9224286
2023-09-04T01:27:34;-7.02287833333;112.67195;10.5;-1;201;202.4;-7;49;M;684685;9223392
2023-09-04T01:29:04;-7.02702666667;112.670326667;10.5;-1;201;201.2;0;49;M;684504;9222934
2023-09-04T01:41:27;-7.06194833333;112.661236667;10.4;-1;191;194;-9;49;M;683486;9219075
2023-09-04T01:41:37;-7.06242833333;112.661128333;10.4;-1;191;192.4;-8;49;M;683473;9219022
