timestamp;lat [deg];lon [deg];sog [kn];heading [deg];cog [deg];STATE;GERAKAN;;;LEGEND;STATE;FEE;
2023-09-01T00:02:46;-6.824273333;112.7680883;0;92;174.1;P0;;;;P0;OUTSIDE PORT;-;-
2023-09-01T00:05:43;-6.824328333;112.7681;0;90;174.1;P0;;;;P1;PANDU TUNDA DERMAGA;PANDU, TUNDA;LABUH
2023-09-01T00:08:45;-6.824386667;112.7680933;0;87;174.1;P0;;;;P2;BERTHING;TAMBAT;
2023-09-01T00:11:44;-6.82443;112.7680483;0;84;174.1;P0;;;;P3;PANDU TUNDA BALIK;PANDU, TUNDA;
2023-09-01T00:14:43;-6.824448333;112.7680583;0;82;174.1;P0;;;;;;;
2023-09-01T00:20:44;-6.824266667;112.7681;0.1;89;174.1;P0;;;;;;;
2023-09-01T00:23:43;-6.824138333;112.768105;0.1;93;174.1;P0;;;;;;;
2023-09-01T00:26:46;-6.824055;112.7680883;0;96;174.1;P0;;;;;;;
2023-09-01T00:29:43;-6.823983333;112.7680683;0;98;174.1;P0;;;;;;;
2023-09-01T00:32:46;-6.823933333;112.7680917;0;100;174.1;P0;;;;;;;
2023-09-01T00:35:43;-6.823921667;112.7681183;0;100;174.1;P0;;;;;;;
2023-09-01T00:38:47;-6.823946667;112.7681;0;99;174.1;P0;;;;;;;
2023-09-01T00:47:43;-6.823903333;112.768085;0;98;174.1;P0;;;;;;;
2023-09-01T00:59:47;-6.823965;112.7680817;0.1;97;174.1;P0;;;;;;;
2023-09-01T01:05:49;-6.823985;112.7680767;0;94;174.1;P0;;;;;;;
2023-09-01T01:08:48;-6.823911667;112.768095;0;98;174.1;P0;;;;;;;
2023-09-01T01:14:49;-6.82385;112.7680983;0;104;174.1;P0;;;;;;;
2023-09-01T01:20:50;-6.824088333;112.7680733;0.1;98;174.1;P0;;;;;;;
2023-09-01T01:23:49;-6.824213333;112.7680767;0.1;92;174.1;P0;;;;;;;
2023-09-01T01:26:51;-6.824265;112.7680867;0;87;174.1;P0;;;;;;;
2023-09-01T01:29:48;-6.824218333;112.768065;0;87;174.1;P0;;;;;;;
2023-09-01T01:35:50;-6.82399;112.7680783;0;96;174.1;P0;;;;;;;
2023-09-01T01:38:44;-6.823935;112.7680867;0;100;174.1;P0;;;;;;;
2023-09-01T01:41:49;-6.823935;112.7680883;0;101;174.1;P0;;;;;;;
2023-09-01T01:44:45;-6.823991667;112.76809;0;99;174.1;P0;;;;;;;
2023-09-01T01:47:42;-6.824078333;112.76808;0.1;95;174.1;P0;;;;;;;
2023-09-01T01:50:43;-6.824168333;112.7680417;0.1;92;174.1;P0;;;;;;;
2023-09-01T01:56:45;-6.824301667;112.76806;0;88;174.1;P0;;;;;;;
2023-09-01T01:59:46;-6.824338333;112.7680983;0;87;174.1;P0;;;;;;;
2023-09-01T02:05:45;-6.824318333;112.7680967;0;85;174.1;P0;;;;;;;
2023-09-01T02:11:45;-6.82424;112.7680633;0;90;174.1;P0;;;;;;;
2023-09-01T02:14:44;-6.824216667;112.76808;0;92;174.1;P0;;;;;;;
2023-09-01T02:17:46;-6.82424;112.7680817;0;92;174.1;P0;;;;;;;
2023-09-01T02:20:44;-6.824276667;112.7681117;0;91;174.1;P0;;;;;;;
2023-09-01T02:23:41;-6.824338333;112.7681317;0;88;174.1;P0;;;;;;;
2023-09-01T02:26:45;-6.824353333;112.768145;0;86;174.1;P0;;;;;;;
2023-09-01T02:29:47;-6.82437;112.768105;0;84;174.1;P0;;;;;;;
2023-09-01T02:32:47;-6.824371667;112.7680583;0;84;174.1;P0;;;;;;;
2023-09-01T02:35:48;-6.824346667;112.7680767;0;86;174.1;P0;;;;;;;
2023-09-01T02:38:45;-6.824281667;112.7680867;0;88;174.1;P0;;;;;;;
2023-09-01T02:41:48;-6.82426;112.768075;0;90;174.1;P0;;;;;;;
2023-09-01T02:47:42;-6.824296667;112.76807;0;89;174.1;P0;;;;;;;
2023-09-01T02:56:45;-6.824358333;112.7681067;0;84;174.1;P0;;;;;;;
2023-09-01T02:59:47;-6.82428;112.768105;0.1;86;174.1;P0;;;;;;;
2023-09-01T03:02:45;-6.824183333;112.7681117;0.1;90;174.1;P0;;;;;;;
2023-09-01T03:05:42;-6.824126667;112.768085;0;94;174.1;P0;;;;;;;
2023-09-01T03:08:44;-6.8241;112.7680883;0;96;174.1;P0;;;;;;;
2023-09-01T03:11:42;-6.824123333;112.7680933;0;95;174.1;P0;;;;;;;
2023-09-01T03:14:44;-6.82418;112.7681;0;93;174.1;P0;;;;;;;
2023-09-01T03:17:47;-6.824211667;112.7680933;0;90;174.1;P0;;;;;;;
2023-09-01T03:20:46;-6.824195;112.7680867;0;90;174.1;P0;;;;;;;
2023-09-01T03:23:46;-6.824121667;112.7680967;0;92;174.1;P0;;;;;;;
2023-09-01T03:26:44;-6.824038333;112.768085;0;96;174.1;P0;;;;;;;
2023-09-01T03:29:46;-6.823988333;112.7680933;0;99;174.1;P0;;;;;;;
2023-09-01T03:32:47;-6.823976667;112.7681183;0;100;174.1;P0;;;;;;;
2023-09-01T03:35:45;-6.82402;112.7681067;0;98;174.1;P0;;;;;;;
2023-09-01T03:41:45;-6.824045;112.7680767;0;94;174.1;P0;;;;;;;
2023-09-01T03:44:47;-6.823995;112.76807;0;95;174.1;P0;;;;;;;
2023-09-01T03:47:47;-6.823938333;112.7681017;0;98;174.1;P0;;;;;;;
2023-09-01T03:50:49;-6.823911667;112.7681383;0;101;174.1;P0;;;;;;;
2023-09-01T03:53:46;-6.823928333;112.7681333;0;102;174.1;P0;;;;;;;
2023-09-01T03:56:49;-6.824011667;112.7681083;0.1;100;174.1;P0;;;;;;;
2023-09-01T03:59:47;-6.824138333;112.7680883;0.1;94;174.1;P0;;;;;;;
2023-09-01T04:02:50;-6.824216667;112.7680817;0;89;174.1;P0;;;;;;;
2023-09-01T04:05:47;-6.824205;112.7681117;0;88;174.1;P0;;;;;;;
2023-09-01T04:08:49;-6.824076667;112.7681383;0.1;91;174.1;P0;;;;;;;
2023-09-01T04:11:42;-6.823903333;112.7681567;0.2;97;2.4;P0;;;;;;;
2023-09-01T04:17:44;-6.823608333;112.768135;0.1;107;356;P0;;;;;;;
2023-09-01T04:23:45;-6.823591667;112.7682083;0;110;356;P0;;;;;;;
2023-09-01T04:26:47;-6.82364;112.7682383;0;110;356;P0;;;;;;;
2023-09-01T04:38:44;-6.823868333;112.7681383;0;101;356;P0;;;;;;;
2023-09-01T04:41:46;-6.823846667;112.7681367;0;100;356;P0;;;;;;;
2023-09-01T04:44:45;-6.823773333;112.7681617;0.1;101;356;P0;;;;;;;
2023-09-01T04:47:47;-6.823633333;112.7681967;0.1;106;356;P0;;;;;;;
2023-09-01T04:50:47;-6.823503333;112.76821;0.1;111;356;P0;;;;;;;
2023-09-01T04:56:48;-6.82333;112.7682867;0;118;356;P0;;;;;;;
2023-09-01T04:59:46;-6.823331667;112.7683033;0;118;356;P0;;;;;;;
2023-09-01T05:02:49;-6.823326667;112.7683083;0;117;356;P0;;;;;;;
2023-09-01T05:05:45;-6.823283333;112.76835;0;119;356;P0;;;;;;;
2023-09-01T05:08:50;-6.823216667;112.768365;0;123;356;P0;;;;;;;
2023-09-01T05:11:45;-6.8232;112.7683467;0;123;356;P0;;;;;;;
2023-09-01T05:20:48;-6.823303333;112.7682967;0;114;356;P0;;;;;;;
2023-09-01T05:23:46;-6.823271667;112.7683283;0;116;356;P0;;;;;;;
2023-09-01T05:26:50;-6.823205;112.76838;0;121;356;P0;;;;;;;
2023-09-01T05:29:45;-6.823163333;112.7683833;0;124;356;P0;;;;;;;
2023-09-01T05:32:50;-6.823181667;112.7683483;0.1;124;356;P0;;;;;;;
2023-09-01T05:35:47;-6.823293333;112.76831;0.1;120;356;P0;;;;;;;
2023-09-01T05:41:42;-6.823585;112.768215;0.1;111;356;P0;;;;;;;
2023-09-01T05:44:49;-6.823736667;112.7681783;0.1;106;356;P0;;;;;;;
2023-09-01T05:50:51;-6.823786667;112.7681717;0;102;356;P0;;;;;;;
2023-09-01T05:56:52;-6.823561667;112.7682267;0.1;110;356;P0;;;;;;;
2023-09-01T05:59:49;-6.823468333;112.76823;0;112;356;P0;;;;;;;
2023-09-01T06:02:51;-6.823423333;112.7682383;0;114;356;P0;;;;;;;
2023-09-01T06:11:47;-6.82334;112.7683367;0;116;356;P0;;;;;;;
2023-09-01T06:14:45;-6.823298333;112.768375;0;120;356;P0;;;;;;;
2023-09-01T06:20:46;-6.823266667;112.768365;0;122;356;P0;;;;;;;
2023-09-01T06:23:47;-6.823323333;112.7683167;0;120;356;P0;;;;;;;
2023-09-01T06:26:46;-6.82339;112.7682867;0;116;356;P0;;;;;;;
2023-09-01T06:29:49;-6.823466667;112.7682683;0;112;356;P0;;;;;;;
2023-09-01T06:32:45;-6.8235;112.76828;0;110;356;P0;;;;;;;
2023-09-01T06:38:48;-6.823483333;112.768285;0;113;356;P0;;;;;;;
2023-09-01T06:44:49;-6.823431667;112.768285;0;115;356;P0;;;;;;;
2023-09-01T06:53:50;-6.823361667;112.7683317;0;116;356;P0;;;;;;;
2023-09-01T06:56:46;-6.823308333;112.7683817;0;118;356;P0;;;;;;;
2023-09-01T06:59:51;-6.823256667;112.7684017;0;120;356;P0;;;;;;;
2023-09-01T07:05:52;-6.823166667;112.7684317;0;125;356;P0;;;;;;;
2023-09-01T07:08:45;-6.823113333;112.7684667;0;127;356;P0;;;;;;;
2023-09-01T07:11:43;-6.823115;112.768515;0;128;356;P0;;;;;;;
2023-09-01T07:14:47;-6.82313;112.7685083;0;127;356;P0;;;;;;;
2023-09-01T07:26:48;-6.823063333;112.7685517;0;129;356;P0;;;;;;;
2023-09-01T07:29:47;-6.823081667;112.7685233;0;129;356;P0;;;;;;;
2023-09-01T07:32:47;-6.823135;112.7684833;0;127;356;P0;;;;;;;
2023-09-01T07:35:48;-6.823255;112.7684067;0.1;122;356;P0;;;;;;;
2023-09-01T07:44:47;-6.823501667;112.7682917;0;113;356;P0;;;;;;;
2023-09-01T07:50:48;-6.823576667;112.7682867;0;111;356;P0;;;;;;;
2023-09-01T07:53:45;-6.823591667;112.7682717;0;110;356;P0;;;;;;;
2023-09-01T07:56:46;-6.823593333;112.768245;0;111;356;P0;;;;;;;
2023-09-01T07:59:48;-6.823593333;112.7682383;0;111;356;P0;;;;;;;
2023-09-01T08:08:48;-6.823591667;112.7682267;0;108;356;P0;;;;;;;
2023-09-01T08:11:47;-6.823566667;112.7682717;0;109;356;P0;;;;;;;
2023-09-01T08:17:46;-6.823525;112.7682867;0;112;356;P0;;;;;;;
2023-09-01T08:20:47;-6.823555;112.7682617;0;114;356;P0;;;;;;;
2023-09-01T08:23:48;-6.82358;112.7682567;0;114;356;P0;;;;;;;
2023-09-01T08:26:46;-6.82363;112.7682483;0;112;356;P0;;;;;;;
2023-09-01T08:29:48;-6.823743333;112.7682267;0.1;108;356;P0;;;;;;;
2023-09-01T08:35:49;-6.823875;112.7682383;0;102;356;P0;;;;;;;
2023-09-01T08:38:46;-6.823915;112.768235;0;102;356;P0;;;;;;;
2023-09-01T08:44:48;-6.823926667;112.76825;0;104;356;P0;;;;;;;
2023-09-01T08:50:47;-6.823981667;112.7681967;0;101;356;P0;;;;;;;
2023-09-01T08:53:51;-6.824011667;112.7681667;0;99;356;P0;;;;;;;
2023-09-01T08:56:48;-6.824018333;112.7681567;0;98;356;P0;;;;;;;
2023-09-01T08:59:51;-6.823986667;112.7681417;0;99;356;P0;;;;;;;
2023-09-01T09:02:49;-6.823945;112.76816;0;101;356;P0;;;;;;;
2023-09-01T09:05:50;-6.823908333;112.76824;0.1;104;356;P0;;;;;;;
2023-09-01T09:08:48;-6.823903333;112.7683283;0;106;356;P0;;;;;;;
2023-09-01T09:11:49;-6.823905;112.7684067;0;108;356;P0;;;;;;;
2023-09-01T09:14:46;-6.823898333;112.7684067;0;108;356;P0;;;;;;;
2023-09-01T09:17:47;-6.823881667;112.76842;0;107;356;P0;;;;;;;
2023-09-01T09:23:47;-6.823825;112.7683583;0;109;356;P0;;;;;;;
2023-09-01T09:26:51;-6.82381;112.768305;0;110;356;P0;;;;;;;
2023-09-01T09:29:49;-6.823843333;112.76822;0;109;356;P0;;;;;;;
2023-09-01T09:35:48;-6.823958333;112.7681183;0.1;100;356;P0;;;;;;;
2023-09-01T09:38:49;-6.824025;112.7681017;0;97;356;P0;;;;;;;
2023-09-01T09:41:47;-6.824076667;112.7681283;0;95;356;P0;;;;;;;
2023-09-01T09:44:48;-6.824133333;112.7681483;0;96;356;P0;;;;;;;
2023-09-01T09:47:46;-6.824181667;112.76816;0;96;356;P0;;;;;;;
2023-09-01T09:53:48;-6.824268333;112.7682983;0;95;356;P0;;;;;;;
2023-09-01T09:56:48;-6.824335;112.7682917;0;91;356;P0;;;;;;;
2023-09-01T09:59:46;-6.824416667;112.7683267;0;87;356;P0;;;;;;;
2023-09-01T10:02:47;-6.824493333;112.7683167;0;85;356;P0;;;;;;;
2023-09-01T10:05:49;-6.824533333;112.7682983;0;83;356;P0;;;;;;;
2023-09-01T10:08:49;-6.82458;112.768275;0;81;356;P0;;;;;;;
2023-09-01T10:17:47;-6.824706667;112.7682233;0;78;356;P0;;;;;;;
2023-09-01T10:20:46;-6.824728333;112.7682633;0;75;356;P0;;;;;;;
2023-09-01T10:23:46;-6.824761667;112.7682883;0;73;356;P0;;;;;;;
2023-09-01T10:26:48;-6.824773333;112.7683467;0;71;356;P0;;;;;;;
2023-09-01T10:29:49;-6.82472;112.7685333;0.2;71;70.2;P0;;;;;;;
2023-09-01T10:32:50;-6.82466;112.7687183;0.1;71;69.4;P0;;;;;;;
2023-09-01T10:38:49;-6.824603333;112.7689583;0;69;69.4;P0;;;;;;;
2023-09-01T10:41:50;-6.824638333;112.7689917;0;67;69.4;P0;;;;;;;
2023-09-01T10:50:46;-6.824928333;112.7688933;0.1;57;69.4;P0;;;;;;;
2023-09-01T11:08:46;-6.82434;112.7697867;0.4;73;72.1;P0;;;;;;;
2023-09-01T11:14:47;-6.82424;112.7704067;0.1;43;85.1;P0;;;;;;;
2023-09-01T11:17:47;-6.824471667;112.7703583;0.3;31;204.1;P0;;;;;;;
2023-09-01T11:20:45;-6.824713333;112.7700383;0.4;39;276.1;P0;;;;;;;
2023-09-01T11:22:52;-6.824616667;112.7698517;0.2;51;296.8;P0;;;;;;;
2023-09-01T11:23:01;-6.824611667;112.7698367;0.2;52;296.4;P0;;;;;;;
2023-09-01T11:23:12;-6.824605;112.7698233;0.2;52;296.8;P0;;;;;;;
2023-09-01T11:23:33;-6.824596667;112.7698017;0.2;54;295.9;P0;;;;;;;
2023-09-01T11:24:01;-6.824581667;112.7697733;0.2;55;295.4;P0;;;;;;;
2023-09-01T11:24:12;-6.824578333;112.769765;0.2;56;295.5;P0;;;;;;;
2023-09-01T11:24:23;-6.82457;112.7697533;0.2;56;295;P0;;;;;;;
2023-09-01T11:24:33;-6.824566667;112.7697467;0.2;57;294;P0;;;;;;;
2023-09-01T11:26:12;-6.824393333;112.7697133;0.6;66;6.7;P0;;;;;;;
2023-09-01T11:26:33;-6.824326667;112.7697283;0.7;69;14.5;P0;;;;;;;
2023-09-01T11:26:52;-6.824256667;112.769755;0.8;72;20.5;P0;;;;;;;
2023-09-01T11:27:01;-6.824215;112.7697783;0.9;74;23.5;P0;;;;;;;
2023-09-01T11:27:12;-6.824166667;112.7698033;1;76;27.2;P0;;;;;;;
