timestamp;lat [deg];lon [deg];sog [kn];heading [deg];cog [deg];STATE;GERAKAN
2023-09-09T00:44:26;-6.764456667;112.7469683;8.5;132;155.2;P0;
2023-09-09T00:44:36;-6.764735;112.747165;8.3;126;149.4;P0;
2023-09-09T00:44:46;-6.765021667;112.7474067;8.1;121;143.3;P0;
2023-09-09T00:44:56;-6.765281667;112.7476667;7.9;116;137.8;P0;
2023-09-09T00:45:06;-6.765515;112.7479433;7.8;111;132.6;P0;
2023-09-09T00:45:16;-6.76572;112.74824;7.7;107;127.6;P0;
2023-09-09T00:45:26;-6.765891667;112.74855;7.6;103;122.1;P0;
2023-09-09T00:45:36;-6.766048333;112.7489;7.5;99;116.4;P0;
2023-09-09T00:45:46;-6.766158333;112.749195;7.5;96;112.8;P0;
2023-09-09T00:45:56;-6.76626;112.749565;7.4;92;107.4;P0;
2023-09-09T00:46:23;-6.766361667;112.7504433;7.4;90;96.5;P0;
2023-09-09T00:46:43;-6.766381667;112.7511367;7.5;90;92.1;P0;
2023-09-09T00:47:02;-6.766385;112.75184;7.7;90;90.4;P0;
2023-09-09T00:47:13;-6.766386667;112.75224;7.8;90;90.5;P0;
2023-09-09T00:47:23;-6.766401667;112.7526183;8;87;91.8;P0;
2023-09-09T00:47:33;-6.766405;112.752965;8.2;85;90.7;P0;
2023-09-09T00:47:52;-6.766381667;112.7537667;8.6;81;88.1;P0;
2023-09-09T00:48:13;-6.766305;112.7545933;8.9;73;84.7;P0;
2023-09-09T00:48:23;-6.766238333;112.7550117;9;69;81.9;P0;
2023-09-09T00:48:36;-6.766101667;112.7555467;9;63;76.7;P0;
2023-09-09T00:48:46;-6.765948333;112.7559817;9.1;58;72.1;P0;
2023-09-09T00:48:56;-6.765771667;112.756365;9.1;55;67.5;P0;
2023-09-09T03:49:03;-6.768725;112.77564;10.9;210;209.1;P0;
2023-09-09T03:49:32;-6.769981667;112.7749533;10.8;210;208.5;P0;
2023-09-09T03:49:43;-6.770458333;112.7746983;10.7;211;208.7;P0;
2023-09-09T03:49:53;-6.770888333;112.77445;10.7;209;209.8;P0;
2023-09-09T03:50:12;-6.77174;112.77397;10.6;206;208.8;P0;
2023-09-09T03:50:22;-6.772181667;112.77375;10.5;206;207.2;P0;
2023-09-09T03:50:32;-6.77258;112.7735617;10.4;205;206.2;P0;
2023-09-09T03:50:43;-6.773068333;112.7733383;10.4;205;205;P0;
2023-09-09T03:50:53;-6.773553333;112.7731267;10.3;205;203.8;P0;
2023-09-09T03:51:12;-6.774333333;112.7727633;10.3;205;204.5;P0;
2023-09-09T03:51:22;-6.774768333;112.772565;10.3;205;204.1;P0;
2023-09-09T03:51:32;-6.775201667;112.7723817;10.2;205;203.7;P0;
2023-09-09T03:51:43;-6.775718333;112.7721567;10.2;205;203.8;P0;
2023-09-09T03:51:53;-6.776155;112.77197;10.2;205;203.3;P0;
2023-09-09T03:52:12;-6.77694;112.7716133;10.2;205;203.8;P0;
2023-09-09T03:52:22;-6.777381667;112.771415;10.2;205;203.9;P0;
2023-09-09T03:52:32;-6.777858333;112.7711967;10.2;205;203.9;P0;
2023-09-09T03:52:53;-6.778705;112.7708267;10.1;205;203.6;P0;
2023-09-09T03:53:12;-6.779508333;112.770475;10.1;205;203.7;P0;
2023-09-09T03:53:22;-6.779968333;112.7702767;9.9;206;203.7;P0;
2023-09-09T03:53:32;-6.78038;112.7701;9.8;205;204;P0;
2023-09-09T03:53:53;-6.78124;112.769705;9.4;205;203.8;P0;
2023-09-09T03:54:13;-6.78197;112.7693717;9.2;205;204;P0;
2023-09-09T03:54:32;-6.782685;112.7690467;8.9;205;203.6;P0;
2023-09-09T03:54:53;-6.78345;112.76872;8.7;205;203.7;P0;
2023-09-09T03:55:13;-6.784211667;112.76837;8.4;205;204;P0;
2023-09-09T03:55:32;-6.784888333;112.7680683;8.3;205;203.8;P0;
2023-09-09T03:55:53;-6.785611667;112.7677533;8.1;205;204.2;P0;
2023-09-09T03:56:13;-6.786261667;112.767485;7.9;205;203.8;P0;
2023-09-09T03:56:23;-6.786595;112.7673467;7.8;206;203.2;P0;
2023-09-09T03:56:42;-6.787221667;112.7670767;7.7;208;203.7;P0;
2023-09-09T03:56:53;-6.7876;112.7668933;7.6;209;205.1;P0;
