timestamp;lat [deg];lon [deg];sog [kn];draught [m];heading [deg];cog [deg];STATE;GERAKAN
2023-09-01T04:10:11;-6.763923333;112.7438117;8.9;-1;142;144.2;P0;
2023-09-01T04:10:23;-6.764293333;112.744075;8.9;-1;142;144.2;P0;
2023-09-01T04:10:33;-6.764625;112.7443133;8.8;-1;142;144.1;P0;
2023-09-01T04:11:01;-6.765586667;112.7449983;8.7;-1;142;144.4;P0;
2023-09-01T04:11:11;-6.765918333;112.7452317;8.6;-1;142;145;P0;
2023-09-01T04:11:32;-6.766581667;112.7456917;8.6;-1;141;145.4;P0;
2023-09-01T04:12:01;-6.767561667;112.7463817;8.5;-1;140;144.6;P0;
2023-09-01T04:12:11;-6.767881667;112.7466117;8.4;-1;140;144;P0;
2023-09-01T04:12:22;-6.76823;112.7468667;8.4;-1;139;143.6;P0;
2023-09-01T04:12:32;-6.768515;112.74708;8.4;-1;139;143;P0;
2023-09-01T04:12:52;-6.769168333;112.7475817;8.3;-1;139;142.1;P0;
2023-09-01T04:13:11;-6.769753333;112.74804;8.3;-1;138;141.5;P0;
2023-09-01T04:13:22;-6.770083333;112.748305;8.2;-1;138;141.2;P0;
2023-09-01T04:13:32;-6.770355;112.7485267;8.2;-1;138;140.8;P0;
2023-09-01T04:13:52;-6.77098;112.74904;8.2;-1;139;140.5;P0;
2023-09-01T04:14:02;-6.77124;112.74925;8.2;-1;139;140.4;P0;
2023-09-01T04:14:22;-6.77186;112.7497567;8.2;-1;139;140.3;P0;
2023-09-01T04:14:32;-6.772125;112.7499767;8.2;-1;139;140.5;P0;
2023-09-01T04:14:53;-6.772756667;112.7504967;8.3;-1;140;140.6;P0;
2023-09-01T04:15:22;-6.773685;112.751255;8.5;-1;140;141.3;P0;
2023-09-01T04:15:32;-6.77397;112.7514833;8.6;-1;140;141.5;P0;
2023-09-01T04:15:42;-6.774286667;112.7517367;8.6;-1;140;141.4;P0;
2023-09-01T04:15:53;-6.774641667;112.7520183;8.8;-1;140;141.6;P0;
2023-09-01T04:16:11;-6.775256667;112.7525117;8.9;-1;140;141.8;P0;
2023-09-01T04:16:22;-6.775616667;112.7528;8.9;-1;140;141.7;P0;
2023-09-01T04:16:32;-6.775911667;112.753035;8.9;-1;140;141.8;P0;
2023-09-01T04:16:43;-6.776276667;112.75332;9;-1;141;142;P0;
2023-09-01T04:16:53;-6.776611667;112.753585;9;-1;141;142.1;P0;
2023-09-01T04:17:11;-6.777248333;112.7540733;9.1;-1;141;142.3;P0;
2023-09-01T04:17:22;-6.777623333;112.7543683;9.2;-1;141;142.2;P0;
2023-09-01T04:17:32;-6.77793;112.7546067;9.2;-1;140;142.1;P0;
