MMSI;NAMA KAPAL;GT;LOA;TYPE;TRIP
248147000;MV. SAMOA;41342;225;1;1
352002971;MV YEOSU VOYAGER;27828;195.58;1;1
357340000;MV. NEW SUCCESS;40066;224.99;1;1
412478000;MV. GUOYUAN 82;47366;229;1;1
413132000;MV XIN QUAN ZHOU;41482;263.2;1;1
413145000;MV XIN BEI LUN;41482;263.23;1;1
440251000;MV SAWASDEE SUNRISE;18051;172.07;1;2
477077700;MV. COSCO HAIFA;40465;261.1;1;1
525001066;MAVENDRA MAS;2989;91.41;0;2
525005319;HIJAU SEJUK;8203;128.84;0;2
525005404;PEKAN BERAU;3781;97.54;0;2
525007115;LINTAS BENGKULU;2670;90.6;0;2
525007401;KISIK MAS;4990;107.8;0;2
525015172;SAHABAT MAS;2996;95.9;0;2
525015234;SEMANGAT MAS;2997;96.5;0;1
525015276;BALI SANUR;2997;96.5;0;1
525015349;PRATAMA MAS;3226;98;0;2
525015920;PEKAN RIAU;2881;79.8;0;1
525019407;LAGUN MAS;3127;96.5;0;1
525023420;BAHAR MAS;4990;107.8;0;3
525025041;MERATUS BORNEO;3668;106.68;0;3
525113005;TANTO BERSINAR;13235;161.85;0;1
525119005;AYER MAS;4990;107.8;0;1
525119011;KEDUNG MAS;4990;107.8;0;1
525119161;STRAIT MAS;29558;226.54;0;2
525119189;IZUMI MAS;14120;155;0;1
525119190;IFAMA MAS;14120;155;0;1
525125013;MERATUS WAIGEO;11512;146;0;1
525125030;MERATUS SAMPIT;7542;123;1;1
525301996;PEKAN SAMPIT;4048;97.54;0;1
538002485;MV CAPE FLORES;14308;154.5;1;2
538004184;MV. BLACK PEARL;43445;229;1;1
538007482;MV. HYUNDAI FORWARD;52581;294.12;1;1
538010745;MV SAWASDEE DENEB;18072;172.07;1;1
636013698;MV. YM EFFICIENCY;42741;268.8;1;1
636014812;MV. IZABELLA M;43753;229;1;1
636017038;MV. SPECTRUM N;26435;208.91;1;1
636021215;MV. TAHO VIRTUE;46815;228.41;1;1
636021625;MV. ETG AQUARIUS;44140;233;1;1
