timestamp;sog[kn];STATE;lat[deg];lon[deg]
2023-07-19T02:28:02;16.1;P1;-6.675593333;112.5830417
2023-07-19T02:28:09;16.1;P1;-6.675758333;112.5835533
2023-07-19T02:28:14;16.1;P1;-6.675875;112.5839233
2023-07-19T02:28:32;16.1;P1;-6.676296667;112.5852217
2023-07-19T02:28:38;16.1;P1;-6.676408333;112.58558
2023-07-19T02:28:44;16.1;P1;-6.676571667;112.5860817
2023-07-19T02:28:50;16.1;P1;-6.676688333;112.586435
2023-07-19T02:28:56;16.1;P1;-6.676856667;112.5869267
2023-07-19T02:29:02;16.1;P1;-6.676973333;112.587275
2023-07-19T02:29:09;16.1;P1;-6.677138333;112.587755
2023-07-19T02:29:20;16.1;P1;-6.677413333;112.58851
2023-07-19T02:29:26;16.1;P1;-6.677563333;112.58893
2023-07-19T02:29:32;16.1;P1;-6.677715;112.5893617
2023-07-19T02:29:38;16.1;P1;-6.677896667;112.5898533
2023-07-19T02:29:44;16.1;P1;-6.67805;112.5902667
2023-07-19T02:30:09;16.1;P1;-6.678661667;112.591955
2023-07-19T02:30:14;16.1;P1;-6.678815;112.5923767
2023-07-19T02:30:26;16.1;P1;-6.679103333;112.5931517
2023-07-19T02:30:32;16.1;P1;-6.679293333;112.5936367
2023-07-19T02:30:38;16.1;P1;-6.679426667;112.5939733
2023-07-19T02:30:44;16.1;P1;-6.679585;112.5943833
2023-07-19T02:30:50;16.1;P1;-6.679743333;112.594795
2023-07-19T02:30:56;16.1;P1;-6.679938333;112.5952817
2023-07-19T02:31:02;16.1;P1;-6.680073333;112.5956283
2023-07-19T02:31:09;16.1;P1;-6.68027;112.5961217
2023-07-19T02:31:14;16.1;P1;-6.680438333;112.5965433
2023-07-19T02:31:20;16.1;P1;-6.680603333;112.5969667
2023-07-19T02:31:26;16.1;P1;-6.680766667;112.59739
2023-07-19T02:31:32;16.1;P1;-6.680931667;112.5978117
2023-07-19T02:31:38;16.1;P1;-6.681068333;112.598165
2023-07-19T02:31:44;16.1;P1;-6.68126;112.5986567
2023-07-19T02:31:50;16.1;P1;-6.681426667;112.599075
2023-07-19T02:31:56;16.1;P1;-6.681588333;112.5994983
