timestamp;lat [deg];lon [deg];sog [kn];draught [m];heading [deg];cog [deg];rot [deg/min];zone  [UTM];band  [UTM];easting [UTM];northing [UTM];STATE
2023-09-13T17:18:58;-6.760475;112.72017;11.6;-1;148;150.2;0;49;M;690117;9252393;P0
2023-09-13T17:19:16;-6.76132666667;112.720651667;11.6;-1;148;151.1;0;49;M;690170;9252299;P0
2023-09-13T17:19:17;-6.76132666667;112.720651667;11.6;-1;148;151.1;0;49;M;690170;9252299;P0
2023-09-13T17:19:28;-6.76188666667;112.720973333;11.6;-1;147;150.8;0;49;M;690205;9252237;P0
2023-09-13T17:19:29;-6.76188666667;112.720973333;11.6;-1;147;150.8;0;49;M;690205;9252237;P0
2023-09-13T17:19:37;-6.76228;112.721185;11.6;-1;147;150.6;0;49;M;690229;9252193;P0
2023-09-13T17:19:47;-6.76275333333;112.721455;11.5;-1;147;148.8;0;49;M;690258;9252141;P0
2023-09-13T17:19:57;-6.763215;112.721731667;11.6;-1;147;148.3;0;49;M;690289;9252089;P0
2023-09-13T17:20:16;-6.76408666667;112.722266667;11.5;-1;147;148.4;0;49;M;690348;9251993;P0
2023-09-13T17:20:28;-6.76463;112.7226;11.4;-1;147;147.9;0;49;M;690384;9251933;P0
2023-09-13T17:20:47;-6.76548333333;112.723126667;11.5;-1;146;148.2;0;49;M;690442;9251838;P0
2023-09-13T17:21:07;-6.76640333333;112.723686667;11.7;-1;146;148.7;0;49;M;690504;9251736;P0
2023-09-13T17:21:16;-6.76686166667;112.72396;11.5;-1;146;148;0;49;M;690534;9251685;P0
2023-09-13T17:21:27;-6.767325;112.724233333;11.5;-1;146;148.4;0;49;M;690564;9251634;P0
2023-09-13T17:21:37;-6.76778666667;112.724511667;11.6;-1;145;148.9;0;49;M;690594;9251583;P0
2023-09-13T17:21:47;-6.76824333333;112.7248;11.6;-1;145;148.1;0;49;M;690626;9251532;P0
2023-09-13T17:21:57;-6.768695;112.725086667;11.5;-1;145;147.3;0;49;M;690658;9251482;P0
2023-09-13T17:22:16;-6.76958833333;112.725666667;11.4;-1;145;145.8;0;49;M;690721;9251383;P0
2023-09-13T17:22:27;-6.77003;112.725963333;11.4;-1;145;146.6;0;49;M;690754;9251334;P0
2023-09-13T17:22:37;-6.770475;112.726251667;11.4;-1;145;146.7;0;49;M;690786;9251285;P0
2023-09-13T17:22:48;-6.77096333333;112.726571667;11.6;-1;145;147.7;0;49;M;690821;9251231;P0
2023-09-13T17:23:08;-6.77186333333;112.72715;11.5;-1;145;147.8;0;49;M;690884;9251131;P0
2023-09-13T17:23:27;-6.77273166667;112.727693333;11.6;-1;145;147.6;0;49;M;690944;9251035;P0
2023-09-13T17:23:48;-6.77368833333;112.728298333;11.4;-1;144;147.4;0;49;M;691011;9250929;P0
2023-09-13T17:24:08;-6.77460833333;112.728875;11.5;-1;144;147.4;0;49;M;691074;9250827;P0
2023-09-13T17:24:27;-6.77544833333;112.729433333;11.5;-1;144;146.3;0;49;M;691135;9250734;P0
2023-09-13T17:24:37;-6.77589;112.729728333;11.4;-1;144;145.9;0;49;M;691168;9250685;P0
2023-09-13T17:24:48;-6.776385;112.730048333;11.5;-1;145;146.9;0;49;M;691203;9250630;P0
2023-09-13T17:25:08;-6.77728333333;112.730636667;11.5;-1;145;146.4;0;49;M;691268;9250530;P0
2023-09-13T17:25:17;-6.777735;112.730925;11.5;-1;145;147.2;0;49;M;691299;9250480;P0
2023-09-13T17:25:27;-6.778095;112.731155;11.5;-1;145;147.1;0;49;M;691325;9250440;P0
2023-09-13T17:25:37;-6.77858666667;112.731475;11.5;-1;145;147.4;0;49;M;691360;9250386;P0
2023-09-13T17:25:48;-6.77910833333;112.731826667;11.5;-1;145;146.6;0;49;M;691399;9250328;P0
2023-09-13T17:26:08;-6.779955;112.732383333;11.6;-1;145;147.5;0;49;M;691460;9250234;P0
2023-09-13T17:26:17;-6.78040166667;112.732673333;11.5;-1;145;147.4;0;49;M;691492;9250184;P0
2023-09-13T17:26:27;-6.78079666667;112.732938333;11.4;-1;144;146.9;0;49;M;691521;9250141;P0
2023-09-13T17:26:37;-6.781245;112.733228333;11.5;-1;144;147.2;0;49;M;691553;9250091;P0
2023-09-13T17:26:48;-6.78174;112.733548333;11.4;-1;144;147.3;0;49;M;691588;9250036;P0
2023-09-13T17:26:58;-6.78218666667;112.733835;11.4;-1;144;147.4;0;49;M;691619;9249987;P0
2023-09-13T17:27:17;-6.78303;112.734376667;11.2;-1;144;148.4;0;49;M;691679;9249893;P0
2023-09-13T17:27:27;-6.78346166667;112.734651667;10.9;-1;144;146.6;0;49;M;691709;9249845;P0
2023-09-13T17:27:37;-6.783885;112.734923333;10.7;-1;143;146.7;0;49;M;691739;9249798;P0
2023-09-13T17:27:48;-6.78433166667;112.73523;10.5;-1;143;145.6;0;49;M;691773;9249749;P0
2023-09-13T17:27:58;-6.784775;112.735511667;10.3;-1;144;145.7;0;49;M;691804;9249700;P0
2023-09-13T17:28:17;-6.78552166667;112.736028333;10;-1;144;146.3;0;49;M;691861;9249617;P0
2023-09-13T17:28:27;-6.78591333333;112.736283333;9.9;-1;144;146.7;0;49;M;691889;9249573;P0
2023-09-13T17:28:37;-6.78630333333;112.73653;9.8;-1;144;147.4;0;49;M;691916;9249530;P0
2023-09-13T17:28:48;-6.78668333333;112.736778333;9.7;-1;144;146.2;0;49;M;691943;9249488;P0
2023-09-13T17:28:58;-6.78705666667;112.737021667;9.5;-1;144;146.4;0;49;M;691970;9249447;P0
2023-09-13T17:29:08;-6.78742333333;112.737263333;9.4;-1;144;145.4;0;49;M;691996;9249406;P0
2023-09-13T17:29:27;-6.78810666667;112.737721667;9.2;-1;145;144.5;0;49;M;692047;9249330;P0
2023-09-13T17:29:37;-6.78845333333;112.737961667;9;-1;147;145.2;127;49;M;692073;9249292;P0
2023-09-13T17:29:48;-6.78882833333;112.738218333;8.8;-1;149;143.6;127;49;M;692101;9249250;P0
2023-09-13T17:29:58;-6.789165;112.738448333;8.8;-1;151;147.1;127;49;M;692127;9249213;P0
2023-09-13T17:30:08;-6.78950666667;112.73867;8.7;-1;154;147.7;127;49;M;692151;9249175;P0
2023-09-13T17:30:27;-6.79019666667;112.739078333;8.5;-1;159;150.3;127;49;M;692196;9249099;P0
2023-09-13T17:30:37;-6.79054666667;112.73926;8.3;-1;162;153.2;127;49;M;692216;9249060;P0
2023-09-13T17:30:48;-6.79093333333;112.739446667;8.4;-1;166;154.6;127;49;M;692236;9249017;P0
2023-09-13T17:30:58;-6.79125166667;112.739585;8.2;-1;169;159.3;127;49;M;692251;9248982;P0
2023-09-13T17:31:08;-6.79165166667;112.739728333;8.2;-1;172;162.9;127;49;M;692267;9248937;P0
2023-09-13T17:31:18;-6.79202;112.73982;8;-1;175;168.2;127;49;M;692277;9248897;P0
2023-09-13T17:31:37;-6.79268166667;112.739938333;7.9;-1;178;174.5;0;49;M;692290;9248823;P0
2023-09-13T17:31:48;-6.79309;112.73997;7.9;-1;179;175.4;0;49;M;692293;9248778;P0
2023-09-13T17:31:58;-6.793455;112.739988333;7.7;-1;180;179;0;49;M;692295;9248738;P0
2023-09-13T17:32:18;-6.79416333333;112.739996667;7.5;-1;181;181.1;0;49;M;692296;9248660;P0
2023-09-13T17:32:37;-6.79481666667;112.739975;7.3;-1;180;182.8;0;49;M;692293;9248587;P0
2023-09-13T17:32:48;-6.79518833333;112.739958333;7.1;-1;180;181.7;0;49;M;692291;9248546;P0
2023-09-13T17:32:58;-6.79552166667;112.739938333;7.2;-1;180;182.6;0;49;M;692289;9248509;P0
