timestamp;lat [deg];lon [deg];sog [kn];draught [m];heading [deg];cog [deg];rot [deg/min];zone  [UTM];band  [UTM];easting [UTM];northing [UTM];STATE
2023-09-21T19:03:44;-6.75234333333;112.665548333;11.9;-1;143;144.0;10;49;M;684082;9253313;P0
2023-09-21T19:03:52;-6.75269833333;112.665813333;11.9;-1;143;144.1;1;49;M;684111;9253274;P0
2023-09-21T19:04:04;-6.75318666667;112.666173333;11.9;-1;143;144.2;6;49;M;684150;9253220;P0
2023-09-21T19:04:13;-6.75359;112.666463333;11.9;-1;143;144.3;8;49;M;684182;9253175;P0
2023-09-21T19:04:23;-6.754085;112.666815;11.9;-1;143;144.3;8;49;M;684221;9253120;P0
2023-09-21T19:04:33;-6.75454166667;112.667136667;11.9;-1;143;144.3;5;49;M;684256;9253070;P0
2023-09-21T19:04:44;-6.75504;112.667495;11.9;-1;143;144.3;-11;49;M;684296;9253014;P0
2023-09-21T19:05:04;-6.75596;112.668138333;11.9;-1;143;144.2;7;49;M;684367;9252912;P0
2023-09-21T19:05:13;-6.756365;112.668428333;11.9;-1;143;144.3;-9;49;M;684399;9252868;P0
2023-09-21T19:05:23;-6.75680333333;112.668746667;11.9;-1;143;144.2;4;49;M;684434;9252819;P0
2023-09-21T19:05:24;-6.75680333333;112.668746667;11.9;-1;143;144.2;4;49;M;684434;9252819;P0
2023-09-21T19:05:44;-6.757685;112.669386667;11.9;-1;143;144.1;10;49;M;684504;9252721;P0
2023-09-21T19:05:53;-6.75809666667;112.669686667;11.9;-1;143;144.1;7;49;M;684537;9252676;P0
2023-09-21T19:06:04;-6.75860333333;112.670051667;11.9;-1;143;144.1;10;49;M;684577;9252619;P0
2023-09-21T19:06:13;-6.75900666667;112.67035;11.9;-1;143;144.2;2;49;M;684610;9252575;P0
2023-09-21T19:06:23;-6.75954166667;112.670748333;11.9;-1;143;144.3;7;49;M;684654;9252515;P0
2023-09-21T19:06:33;-6.75995;112.671041667;11.9;-1;143;144.3;-11;49;M;684686;9252470;P0
2023-09-21T19:06:43;-6.76040333333;112.67137;11.9;-1;143;144.3;-8;49;M;684722;9252420;P0
2023-09-21T19:06:53;-6.76086;112.671696667;11.9;-1;143;144.3;10;49;M;684758;9252369;P0
2023-09-21T19:07:04;-6.76135833333;112.672053333;11.9;-1;143;144.1;2;49;M;684797;9252314;P0
2023-09-21T19:07:14;-6.76180333333;112.672375;11.9;-1;143;144.0;4;49;M;684833;9252265;P0
2023-09-21T19:07:23;-6.762195;112.672658333;11.9;-1;143;144.0;-7;49;M;684864;9252221;P0
2023-09-21T19:07:32;-6.76259166667;112.672943333;11.9;-1;143;144.0;-3;49;M;684895;9252177;P0
2023-09-21T19:07:33;-6.76259166667;112.672943333;11.9;-1;143;144.0;-3;49;M;684895;9252177;P0
2023-09-21T19:07:43;-6.76304;112.673268333;11.9;-1;143;144.0;7;49;M;684931;9252128;P0
2023-09-21T19:07:53;-6.76349333333;112.6736;11.9;-1;143;144.1;6;49;M;684968;9252077;P0
2023-09-21T19:08:04;-6.764025;112.674001667;11.9;-1;143;144.1;-13;49;M;685012;9252018;P0
2023-09-21T19:08:14;-6.76447;112.67433;11.9;-1;143;144.2;9;49;M;685048;9251969;P0
2023-09-21T19:08:23;-6.76487833333;112.674613333;11.9;-1;143;144.4;0;49;M;685079;9251924;P0
2023-09-21T19:08:32;-6.76528833333;112.674891667;11.9;-1;143;144.4;-11;49;M;685110;9251878;P0
2023-09-21T19:08:33;-6.76528833333;112.674891667;11.9;-1;143;144.4;-11;49;M;685110;9251878;P0
2023-09-21T19:08:43;-6.76578666667;112.675238333;11.9;-1;143;144.4;-9;49;M;685148;9251823;P0
2023-09-21T19:08:53;-6.766195;112.675523333;11.9;-1;143;144.4;-12;49;M;685179;9251778;P0
2023-09-21T19:09:04;-6.76669;112.675885;11.9;-1;143;144.5;-13;49;M;685219;9251723;P0
2023-09-21T19:09:14;-6.76714;112.676218333;11.9;-1;143;144.3;12;49;M;685256;9251673;P0
2023-09-21T19:09:23;-6.76759666667;112.676548333;11.9;-1;143;144.3;9;49;M;685292;9251622;P0
2023-09-21T19:09:32;-6.76801;112.676851667;11.9;-1;143;144.2;-7;49;M;685325;9251577;P0
2023-09-21T19:09:33;-6.76801;112.676851667;11.9;-1;143;144.2;-7;49;M;685325;9251577;P0
2023-09-21T19:09:43;-6.76851666667;112.67721;11.9;-1;143;144.1;4;49;M;685365;9251520;P0
2023-09-21T19:09:53;-6.76897;112.677531667;11.9;-1;143;144.0;8;49;M;685400;9251470;P0
2023-09-21T19:10:04;-6.76946666667;112.677878333;11.9;-1;143;144.0;-9;49;M;685438;9251415;P0
2023-09-21T19:10:14;-6.76991833333;112.678198333;11.9;-1;143;144.0;-7;49;M;685473;9251365;P0
2023-09-21T19:10:23;-6.77032166667;112.67849;11.9;-1;143;144.1;-8;49;M;685506;9251320;P0
2023-09-21T19:10:33;-6.77077333333;112.678813333;11.9;-1;143;144.0;7;49;M;685541;9251270;P0
2023-09-21T19:10:43;-6.77123;112.679136667;11.9;-1;143;144.0;-7;49;M;685577;9251220;P0
2023-09-21T19:10:53;-6.771685;112.679465;11.9;-1;143;144.0;-7;49;M;685613;9251169;P0
2023-09-21T19:11:04;-6.77213166667;112.679796667;11.9;-1;143;144.1;-1;49;M;685649;9251120;P0
2023-09-21T19:11:14;-6.77257666667;112.680125;11.9;-1;143;144.1;-1;49;M;685685;9251070;P0
2023-09-21T19:11:23;-6.77302333333;112.68045;11.9;-1;143;144.1;9;49;M;685721;9251021;P0
2023-09-21T19:11:33;-6.77346833333;112.68078;11.9;-1;143;144.1;11;49;M;685758;9250971;P0
2023-09-21T19:11:53;-6.774375;112.681426667;11.9;-1;143;144.2;10;49;M;685829;9250871;P0
2023-09-21T19:12:04;-6.77485666667;112.681781667;11.9;-1;143;144.3;9;49;M;685868;9250817;P0
2023-09-21T19:12:14;-6.775295;112.682106667;11.9;-1;143;144.3;-6;49;M;685904;9250769;P0
2023-09-21T19:12:33;-6.77611166667;112.6827;11.9;-1;143;144.4;4;49;M;685969;9250678;P0
2023-09-21T19:12:43;-6.77656666667;112.683023333;11.9;-1;143;144.4;-6;49;M;686004;9250628;P0
2023-09-21T19:12:53;-6.777065;112.683376667;11.9;-1;143;144.4;-12;49;M;686043;9250573;P0
2023-09-21T19:13:04;-6.77756;112.68374;11.9;-1;143;144.4;10;49;M;686083;9250518;P0
2023-09-21T19:13:14;-6.77800833333;112.68406;11.9;-1;143;144.3;-6;49;M;686118;9250468;P0
2023-09-21T19:13:23;-6.77841333333;112.68435;11.9;-1;143;144.4;7;49;M;686150;9250423;P0
2023-09-21T19:13:33;-6.77885166667;112.684666667;11.9;-1;143;144.4;2;49;M;686185;9250375;P0
2023-09-21T19:13:43;-6.77929666667;112.684986667;11.9;-1;143;144.4;-1;49;M;686220;9250325;P0
