timestamp;lat [deg];lon [deg];sog [kn];draught [m];heading [deg];cog [deg];rot [deg/min];zone  [UTM];band  [UTM];easting [UTM];northing [UTM];STATE
2023-09-04T22:41:41;-6.82103833333;112.840033333;11.9;-1;242;242.1;0;49;M;703344;9245646;P0
2023-09-04T22:41:51;-6.82129833333;112.839545;11.9;-1;242;242.0;0;49;M;703290;9245618;P0
2023-09-04T22:44:00;-6.82477166667;112.833258333;11.9;-1;239;240.1;0;49;M;702593;9245236;P0
2023-09-04T22:45:10;-6.82673333333;112.829893333;11.9;-1;240;239.9;0;49;M;702220;9245021;P0
2023-09-04T22:45:31;-6.82729;112.828923333;11.9;-1;240;240.2;0;49;M;702113;9244959;P0
2023-09-04T22:46:00;-6.82810333333;112.827526667;11.9;-1;240;239.7;0;49;M;701958;9244870;P0
2023-09-04T22:46:20;-6.82868666667;112.826503333;11.9;-1;240;240.3;0;49;M;701845;9244806;P0
2023-09-04T22:46:41;-6.82926833333;112.825491667;11.9;-1;239;240.3;0;49;M;701733;9244742;P0
2023-09-04T22:46:51;-6.82955166667;112.825015;11.9;-1;240;239.8;0;49;M;701680;9244711;P0
2023-09-04T22:47:41;-6.83093166667;112.822626667;11.9;-1;240;239.6;0;49;M;701415;9244559;P0
2023-09-04T22:47:51;-6.83121;112.82215;11.9;-1;240;239.8;0;49;M;701362;9244529;P0
2023-09-04T22:48:00;-6.83143333333;112.821765;11.9;-1;240;240.0;0;49;M;701320;9244504;P0
2023-09-04T22:48:19;-6.83199;112.820801667;11.9;-1;239;240.3;0;49;M;701213;9244443;P0
2023-09-04T22:48:31;-6.83232166667;112.820221667;11.9;-1;239;240.0;0;49;M;701149;9244407;P0
2023-09-04T22:48:51;-6.83288333333;112.819253333;11.9;-1;239;239.9;0;49;M;701042;9244345;P0
2023-09-04T22:49:00;-6.83310666667;112.818865;11.9;-1;239;239.8;0;49;M;700999;9244320;P0
2023-09-04T22:49:10;-6.83339;112.81838;11.9;-1;240;239.7;0;49;M;700945;9244289;P0
2023-09-04T22:49:19;-6.83367166667;112.817893333;11.9;-1;240;239.8;0;49;M;700891;9244258;P0
2023-09-04T22:49:31;-6.83400666667;112.817313333;11.8;-1;240;239.8;0;49;M;700827;9244221;P0
2023-09-04T22:49:41;-6.83425166667;112.816876667;11.9;-1;240;240.4;0;49;M;700778;9244195;P0
2023-09-04T22:49:51;-6.83456166667;112.816348333;11.9;-1;239;240.1;0;49;M;700720;9244160;P0
2023-09-04T22:50:10;-6.83506666667;112.81549;11.9;-1;240;239.8;0;49;M;700625;9244105;P0
2023-09-04T22:50:19;-6.835345;112.81501;11.9;-1;240;239.8;0;49;M;700571;9244074;P0
2023-09-04T22:50:30;-6.83562166667;112.81453;11.9;-1;239;239.8;0;49;M;700518;9244044;P0
2023-09-04T22:50:41;-6.83593166667;112.814008333;11.9;-1;240;239.6;0;49;M;700461;9244010;P0
2023-09-04T22:50:50;-6.83618333333;112.813575;11.9;-1;240;239.8;0;49;M;700413;9243982;P0
2023-09-04T22:51:00;-6.83646;112.813081667;11.9;-1;240;239.8;0;49;M;700358;9243952;P0
2023-09-04T22:51:19;-6.837025;112.81213;11.9;-1;240;239.9;0;49;M;700252;9243890;P0
2023-09-04T22:51:50;-6.83787;112.810666667;11.8;-1;240;239.4;0;49;M;700090;9243797;P0
2023-09-04T22:52:00;-6.83814333333;112.810185;11.8;-1;240;239.8;0;49;M;700037;9243767;P0
2023-09-04T22:52:19;-6.83867666667;112.809235;11.7;-1;239;239.8;0;49;M;699932;9243708;P0
2023-09-04T22:52:30;-6.83894;112.808765;11.5;-1;240;239.6;0;49;M;699880;9243679;P0
2023-09-04T22:53:50;-6.84113666667;112.805231667;11.1;-1;237;237.3;0;49;M;699488;9243438;P0
2023-09-04T22:54:01;-6.84144333333;112.804743333;11.1;-1;236;237.1;0;49;M;699434;9243404;P0
2023-09-04T22:55:11;-6.8434;112.801748333;11.0;-1;237;237.1;0;49;M;699102;9243189;P0
2023-09-04T22:55:30;-6.84393;112.80093;11.0;-1;236;237.0;0;49;M;699011;9243131;P0
2023-09-04T22:55:50;-6.84449833333;112.800075;11.0;-1;237;236.7;0;49;M;698917;9243068;P0
2023-09-04T22:56:01;-6.84479166667;112.799596667;11.0;-1;234;238.1;-127;49;M;698864;9243036;P0
2023-09-04T22:56:11;-6.84506833333;112.79916;11.0;-1;230;237.0;-127;49;M;698815;9243006;P0
2023-09-04T22:56:30;-6.84565333333;112.798383333;10.8;-1;229;231.7;0;49;M;698729;9242941;P0
2023-09-04T22:56:50;-6.846305;112.797608333;10.8;-1;228;229.8;0;49;M;698643;9242869;P0
2023-09-04T22:57:30;-6.84763666667;112.796098333;10.8;-1;228;228.7;0;49;M;698476;9242723;P0
2023-09-04T22:57:50;-6.84833333333;112.795296667;10.8;-1;228;229.3;0;49;M;698387;9242646;P0
2023-09-04T22:58:50;-6.85029166667;112.793078333;10.7;-1;228;228.1;0;49;M;698141;9242430;P0
2023-09-04T22:59:01;-6.85065666667;112.792675;10.7;-1;228;228.3;0;49;M;698096;9242390;P0
2023-09-04T22:59:11;-6.85098833333;112.7923;10.7;-1;228;228.3;0;49;M;698055;9242354;P0
2023-09-04T22:59:40;-6.85197;112.791215;10.7;-1;227;228.2;0;49;M;697934;9242246;P0
2023-09-04T22:59:50;-6.852305;112.790826667;10.7;-1;227;228.0;0;49;M;697891;9242209;P0
2023-09-04T23:00:00;-6.85264;112.790453333;10.7;-1;228;228.1;0;49;M;697850;9242172;P0
2023-09-04T23:00:11;-6.85300666667;112.790038333;10.7;-1;227;228.2;0;49;M;697804;9242131;P0
2023-09-04T23:00:21;-6.85334166667;112.78967;10.7;-1;227;228.0;0;49;M;697763;9242095;P0
2023-09-04T23:00:40;-6.85398166667;112.788966667;10.7;-1;227;228.2;0;49;M;697685;9242024;P0
2023-09-04T23:03:31;-6.85977833333;112.782481667;11.0;-1;231;229.4;127;49;M;696966;9241386;P0
2023-09-04T23:08:41;-6.86619333333;112.767568333;11.5;-1;264;262.0;0;49;M;695315;9240682;P0
2023-09-04T23:08:51;-6.86625833333;112.766983333;11.5;-1;264;263.2;0;49;M;695250;9240675;P0
2023-09-04T23:09:21;-6.866425;112.76537;11.6;-1;264;263.9;0;49;M;695072;9240657;P0
2023-09-04T23:10:10;-6.86673833333;112.762721667;11.6;-1;258;261.8;-127;49;M;694779;9240624;P0
2023-09-04T23:10:51;-6.867205;112.76057;11.6;-1;250;255.8;-127;49;M;694541;9240573;P0
2023-09-04T23:11:10;-6.86751833333;112.759603333;11.6;-1;248;252.9;-127;49;M;694434;9240539;P0
2023-09-04T23:13:50;-6.87139333333;112.751948333;11.5;-1;234;235.9;0;49;M;693586;9240113;P1
2023-09-04T23:14:50;-6.87318166667;112.749251667;11.6;-1;232;236.7;-127;49;M;693287;9239917;P1
2023-09-04T23:15:21;-6.87418166667;112.747866667;11.6;-1;229;232.1;0;49;M;693134;9239807;P1
2023-09-04T23:19:41;-6.88507666667;112.739381667;11.7;-1;208;211.9;0;49;M;692191;9238605;P1
2023-09-04T23:21:30;-6.89022833333;112.736466667;11.7;-1;208;209.3;0;49;M;691867;9238037;P1
2023-09-04T23:22:10;-6.89219166667;112.735356667;11.8;-1;205;209.5;0;49;M;691744;9237820;P1
2023-09-04T23:22:22;-6.892735;112.735078333;11.8;-1;205;207.8;0;49;M;691713;9237760;P1
2023-09-04T23:22:30;-6.89312666667;112.73488;11.8;-1;205;207.0;0;49;M;691691;9237717;P1
2023-09-04T23:22:50;-6.894105;112.734378333;11.8;-1;204;206.4;0;49;M;691635;9237609;P1
2023-09-04T23:23:10;-6.89514166667;112.733861667;11.8;-1;204;206.5;0;49;M;691577;9237494;P1
2023-09-04T23:23:21;-6.89568833333;112.733598333;11.8;-1;205;205.9;0;49;M;691548;9237434;P1
2023-09-04T23:23:51;-6.89717;112.732866667;11.7;-1;202;207.0;0;49;M;691467;9237270;P1
