MMSI;NAMA KAPAL;GT;LOA;TYPE;TRIP KE;Total Labuh;Total Pandu;PNBP Pandu;Total Tunda 1;PNBP Tunda 1;Total Tunda 2;PNBP Tunda 2;P1_duration;P2_duration;P3_duration;Total Tambat
248147000;MV. SAMOA;41342;225;1;1;62757156;41878512.0;2093925.6;87883472.82;304423941.90000004;60884788.38;304423941.90000004;3.19;50.03;2.21;176119173.139
352002971;MV YEOSU VOYAGER;27828;195.58;1;1;42242904;29229407.999999996;1461470.4;47071586.63999999;115175158.80000003;23035031.760000005;115175158.80000003;1.88;16.31;0.92;38647429.002
357340000;MV. NEW SUCCESS;40066;224.99;1;1;60820188;40684176.0;2034208.8;71353666.02;275496780.0;55099356.0;275496780.0;2.59;63.37;2.00;216194353.06300002
412478000;MV. GUOYUAN 82;47366;229;1;1;71901588;47516976.0;2375848.8000000003;751555215.84;312688845.3;62537769.06;312688845.3;27.28;32.30;2.27;130272841.27
413132000;MV XIN QUAN ZHOU;41482;263.2;1;1;62969676;42009552.0;2100477.6;71629162.8;239682198.6;47936439.72;239682198.6;2.60;23.66;1.74;83571669.818
413145000;MV XIN BEI LUN;41482;263.23;1;1;62969676;42009552.0;2100477.6;95872879.44;161165616.29999998;32233123.259999998;161165616.29999998;3.48;25.24;1.17;89152533.652
440251000;MV SAWASDEE SUNRISE;18051;172.07;1;1;27401418;20078136.0;1003906.8;99317731.5;264068321.39999998;52813664.279999994;264068321.39999998;4.25;17.32;2.26;26621578.698000003
440251000;MV SAWASDEE SUNRISE;18051;172.07;1;2;27401418;20078136.0;1003906.8;341652996.36;106328394.9;21265678.98;106328394.9;14.62;0.00;0.91;0.0
477077700;MV. COSCO HAIFA;40465;261.1;1;1;61425870;41057640.0;2052882.0;277425257.46;231417295.2;46283459.04;231417295.2;10.07;22.66;1.68;78077177.03500001
525001066;MAVENDRA MAS;2989;91.41;0;1;269010;719010;35950.5;17172273.3;10829059.5;2165811.9;10829059.5;25.61;0.04;3.23;577.8733333333334
525001066;MAVENDRA MAS;2989;91.41;0;2;269010;719010;35950.5;8488909.8;9789738.0;1957947.6;9789738.0;12.66;0.09;2.92;1300.215
525005319;HIJAU SEJUK;8203;128.84;0;1;738270;1188270;59413.5;3665674.66;20420982.849999998;4084196.57;20420982.849999998;2.54;45.90;2.83;1819835.55
525005319;HIJAU SEJUK;8203;128.84;0;2;738270;1188270;59413.5;4401695.95;0.0;0.0;0.0;3.05;2.90;0.00;114978.71666666667
525005404;PEKAN BERAU;3781;97.54;0;1;340290;790290;39514.5;2836855.1199999996;15382271.849999998;3076454.3699999996;15382271.849999998;2.96;17.89;3.21;326936.7683333333
525005404;PEKAN BERAU;3781;97.54;0;2;340290;790290;39514.5;2491832.2;14280115.3;2856023.06;14280115.3;2.60;13.83;2.98;252740.945
525007115;LINTAS BENGKULU;2670;90.6;0;1;240300;690300;34515.0;3185017.5;8985102.0;1797020.4;8985102.0;4.75;12.64;2.68;163119.2
525007115;LINTAS BENGKULU;2670;90.6;0;2;240300;690300;34515.0;26995537.8;0.0;0.0;0.0;40.26;0.00;0.00;0.0
525007401;KISIK MAS;4990;107.8;0;1;449100;899100;44955.0;3613156.69;16148989.450000001;3229797.89;16148989.450000001;3.77;19.03;3.37;458971.88333333336
525007401;KISIK MAS;4990;107.8;0;2;449100;899100;44955.0;2568503.96;15334352.000000002;3066870.4000000004;15334352.000000002;2.68;17.38;3.20;419176.6333333333
525015172;SAHABAT MAS;2996;95.9;0;1;269640;719640;35982.0;1743378.0;11164324.5;2232864.9;11164324.5;2.60;18.44;3.33;267023.49333333335
525015172;SAHABAT MAS;2996;95.9;0;2;269640;719640;35982.0;992384.4;9085681.5;1817136.3;9085681.5;1.48;21.40;2.71;309886.26666666666
525015234;SEMANGAT MAS;2997;96.5;0;1;269730;719730;35986.5;1528808.3999999997;10762006.5;2152401.3;10762006.5;2.28;20.70;3.21;299849.85
525015276;BALI SANUR;2997;96.5;0;1;269730;719730;35986.5;3728146.7999999993;9789738.0;1957947.6;9789738.0;5.56;32.56;2.92;471647.88
525015349;PRATAMA MAS;3226;98;0;1;290340;740340;37017.0;3339239.4000000004;8985102.0;1797020.4;8985102.0;4.98;18.13;2.68;282689.0033333333
525015349;PRATAMA MAS;3226;98;0;2;290340;740340;37017.0;630298.2;10560847.5;2112169.5;10560847.5;0.94;14.60;3.15;227648.06666666665
525015920;PEKAN RIAU;2881;79.8;0;1;259290;709290;35464.5;1931126.4;8046360.0;1609272.0;8046360.0;2.88;12.01;2.40;167237.24833333332
525019407;LAGUN MAS;3127;96.5;0;1;281430;731430;36571.5;2038411.2;11231377.5;2246275.5;11231377.5;3.04;13.25;3.35;200258.2916666667
525023420;BAHAR MAS;4990;107.8;0;1;449100;899100;44955.0;1456763.4400000002;16101069.6;3220213.92;16101069.6;1.52;22.74;3.36;548450.8999999999
525023420;BAHAR MAS;4990;107.8;0;2;449100;899100;44955.0;852973.33;11932042.650000002;2386408.5300000003;11932042.650000002;0.89;15.27;2.49;368286.94999999995
525023420;BAHAR MAS;4990;107.8;0;3;449100;899100;44955.0;1955129.88;12986279.349999998;2597255.8699999996;12986279.349999998;2.04;25.57;2.71;616705.7833333333
525025041;MERATUS BORNEO;3668;106.68;0;1;330120;780120;39006.0;1964713.8499999999;13225878.599999998;2645175.7199999997;13225878.599999998;2.05;12.80;2.76;226926.93333333335
525025041;MERATUS BORNEO;3668;106.68;0;2;330120;780120;39006.0;3076454.3699999996;14950993.200000001;2990198.64;14950993.200000001;3.21;22.32;3.12;395703.84
525025041;MERATUS BORNEO;3668;106.68;0;3;330120;780120;39006.0;1782618.4200000002;15142672.6;3028534.52;15142672.6;1.86;11.49;3.16;203702.38
525113005;TANTO BERSINAR;13235;161.85;0;1;1191150;1641150;82057.5;7172599.629999999;17823260.650000002;3564652.1300000004;17823260.650000002;4.97;67.73;2.47;4332631.658333333
525113005;TANTO BERSINAR;13235;161.85;0;2;1191150;1641150;82057.5;3276016.33;72158.95;14431.789999999999;72158.95;2.27;32.21;0.01;2060446.8583333334
525119005;AYER MAS;4990;107.8;0;1;449100;899100;44955.0;2865607.0300000003;47919.85;9583.97;47919.85;2.99;3.13;0.01;75490.38333333333
